Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_F1,stim1_voicing,stim2_f0,stim2_Closure,stim2_F1,stim2_voicing
f1_voicing_dur,0.002013564109802246,0,39,,,0,0,,,1,0
f1_voicing_dur,0.0022603273391723633,1,39,,,0,0,,,1,1
f1_voicing_dur,2.7954578399658203e-05,0,39,,,0,0,,,0,1
f1_voicing_dur,0.00014907121658325195,0,39,,,1,0,,,1,1
f1_voicing_dur,0.0021851658821105957,1,39,,,1,0,,,0,1
f1_voicing_dur,0.002379894256591797,0,39,,,1,1,,,0,1
f1_closure_dur_low_f0,0.0007448792457580566,0,39,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.00046312808990478516,0,39,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.0027396678924560547,0,39,0,0,0,,0,1,1,
f1_closure_dur_low_f0,0.0004987716674804688,0,39,0,1,0,,0,0,1,
f1_closure_dur_low_f0,0.0007684826850891113,0,39,0,1,0,,0,1,1,
f1_closure_dur_low_f0,0.0015107989311218262,0,39,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.004380226135253906,0,39,1,1,1,,1,0,0,
f1_closure_dur_high_f0,0.0015014410018920898,0,39,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0015564560890197754,0,39,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.001110374927520752,0,39,1,0,0,,1,1,0,
f1_closure_dur_high_f0,0.0012120604515075684,0,39,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.0008652806282043457,0,39,1,1,0,,1,0,1,
f0_voicing_dur,0.00014132261276245117,1,39,0,,,1,1,,,0
f0_voicing_dur,1.7881393432617188e-07,0,39,0,,,1,0,,,0
f0_voicing_dur,0.0001900196075439453,0,39,0,,,1,1,,,1
f0_voicing_dur,0.00013750791549682617,0,39,1,,,0,0,,,0
f0_voicing_dur,0.00013786554336547852,0,39,1,,,0,1,,,1
f0_voicing_dur,0.00018739700317382812,1,39,0,,,0,1,,,1
f0_closure_dur_low_f1,0.00044792890548706055,0,39,0,0,0,,1,1,0,
f0_closure_dur_low_f1,0.0008312463760375977,0,39,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.000321805477142334,0,39,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.00019663572311401367,0,39,1,1,0,,0,1,0,
f0_closure_dur_low_f1,0.001110374927520752,0,39,1,1,0,,1,0,0,
f0_closure_dur_low_f1,0.0019053816795349121,0,39,0,1,0,,1,0,0,
f0_closure_dur_high_f1,0.0010696053504943848,0,39,0,0,1,,1,1,1,
f0_closure_dur_high_f1,0.0005995035171508789,0,39,0,0,1,,1,0,1,
f0_closure_dur_high_f1,0.004457712173461914,0,39,0,0,1,,0,1,1,
f0_closure_dur_high_f1,0.0015564560890197754,0,39,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0017945170402526855,0,39,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.006284952163696289,0,39,1,0,1,,0,1,1,
