Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_voicing,stim1_F1,stim2_f0,stim2_Closure,stim2_voicing,stim2_F1
f1_voicing_dur,0.0023291707038879395,0,40,,,0,0,,,0,1
f1_voicing_dur,0.002138376235961914,1,40,,,0,0,,,1,1
f1_voicing_dur,3.820657730102539e-05,0,40,,,0,0,,,1,0
f1_voicing_dur,0.00010371208190917969,0,40,,,0,1,,,1,1
f1_voicing_dur,0.002453744411468506,1,40,,,0,1,,,1,0
f1_voicing_dur,0.002200603485107422,0,40,,,1,1,,,1,0
f1_closure_dur_low_f0,0.0006921887397766113,0,40,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0006848573684692383,0,40,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.002371370792388916,0,40,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.0005345344543457031,0,40,0,1,,0,0,0,,1
f1_closure_dur_low_f0,0.0006612539291381836,0,40,0,1,,0,0,1,,1
f1_closure_dur_low_f0,0.0011433959007263184,0,40,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.0036239027976989746,0,40,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0014008879661560059,0,40,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.00135117769241333,0,40,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0008841156959533691,0,40,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.0010138154029846191,0,40,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0008611083030700684,0,40,1,1,,0,1,0,,1
f0_voicing_dur,0.00017309188842773438,1,40,0,,1,,1,,0,
f0_voicing_dur,4.172325134277344e-07,0,40,0,,1,,0,,0,
f0_voicing_dur,0.00028759241104125977,0,40,0,,1,,1,,1,
f0_voicing_dur,0.00016760826110839844,0,40,1,,0,,0,,0,
f0_voicing_dur,0.00023037195205688477,0,40,1,,0,,1,,1,
f0_voicing_dur,0.00028461217880249023,1,40,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0003821253776550293,0,40,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0005992650985717773,0,40,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00032526254653930664,0,40,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00017052888870239258,0,40,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0008841156959533691,0,40,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.0014394521713256836,0,40,0,1,,0,1,0,,0
f0_closure_dur_high_f1,0.0010222196578979492,0,40,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0010783672332763672,0,40,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.0026475191116333008,0,40,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.00135117769241333,0,40,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.001189112663269043,0,40,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.00446850061416626,0,40,1,0,,1,0,1,,1
