Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.0016940832138061523,0,52,0,,0,,0,,1,
f1_voicing_dur,0.0015853643417358398,1,52,0,,0,,1,,1,
f1_voicing_dur,1.806020736694336e-05,0,52,0,,0,,1,,0,
f1_voicing_dur,4.571676254272461e-05,0,52,0,,1,,1,,1,
f1_voicing_dur,0.0017260313034057617,1,52,0,,1,,1,,0,
f1_voicing_dur,0.0015891790390014648,0,52,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0007783770561218262,0,52,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0005118846893310547,0,52,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0026131272315979004,0,52,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0005269050598144531,0,52,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.0007050037384033203,0,52,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.0013162493705749512,0,52,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0033196210861206055,0,52,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0011414289474487305,0,52,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0009766221046447754,0,52,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.000796973705291748,0,52,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0010181069374084473,0,52,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0005388259887695312,0,52,,1,0,1,,1,1,0
f0_voicing_dur,0.00020462274551391602,1,52,1,0,,,0,1,,
f0_voicing_dur,3.5762786865234375e-07,0,52,1,0,,,0,0,,
f0_voicing_dur,0.00019699335098266602,0,52,1,0,,,1,1,,
f0_voicing_dur,0.00020003318786621094,0,52,0,1,,,0,0,,
f0_voicing_dur,8.243322372436523e-05,0,52,0,1,,,1,1,,
f0_voicing_dur,0.0001926422119140625,1,52,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0003483891487121582,0,52,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0006232857704162598,0,52,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00017845630645751953,0,52,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0001112222671508789,0,52,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.000796973705291748,0,52,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.001297593116760254,0,52,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0008401870727539062,0,52,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.00035244226455688477,0,52,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.002517223358154297,0,52,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0009766221046447754,0,52,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0008856058120727539,0,52,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0033941268920898438,0,52,,1,1,0,,0,1,1
