Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_F1,stim1_voicing,stim2_f0,stim2_Closure,stim2_F1,stim2_voicing
f1_voicing_dur,0.003577709197998047,0,34,,,0,0,,,1,0
f1_voicing_dur,0.0038019418716430664,1,34,,,0,0,,,1,1
f1_voicing_dur,5.137920379638672e-05,0,34,,,0,0,,,0,1
f1_voicing_dur,0.0001170039176940918,0,34,,,1,0,,,1,1
f1_voicing_dur,0.003361642360687256,1,34,,,1,0,,,0,1
f1_voicing_dur,0.0035232901573181152,0,34,,,1,1,,,0,1
f1_closure_dur_low_f0,0.0014584660530090332,0,34,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0014521479606628418,0,34,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.004520058631896973,0,34,0,0,0,,0,1,1,
f1_closure_dur_low_f0,0.0015113353729248047,0,34,0,1,0,,0,0,1,
f1_closure_dur_low_f0,0.0011980533599853516,0,34,0,1,0,,0,1,1,
f1_closure_dur_low_f0,0.0028017759323120117,0,34,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.005332767963409424,0,34,1,1,1,,1,0,0,
f1_closure_dur_high_f0,0.00194472074508667,0,34,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0020273923873901367,0,34,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.001651167869567871,0,34,1,0,0,,1,1,0,
f1_closure_dur_high_f0,0.001711130142211914,0,34,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.0018447637557983398,0,34,1,1,0,,1,0,1,
f0_voicing_dur,0.0005078911781311035,1,34,0,,,1,1,,,0
f0_voicing_dur,6.556510925292969e-07,0,34,0,,,1,0,,,0
f0_voicing_dur,0.0006561875343322754,0,34,0,,,1,1,,,1
f0_voicing_dur,0.0005174875259399414,0,34,1,,,0,0,,,0
f0_voicing_dur,0.00024884939193725586,0,34,1,,,0,1,,,1
f0_voicing_dur,0.0006744265556335449,1,34,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0006528496742248535,0,34,0,0,0,,1,1,0,
f0_closure_dur_low_f1,0.001062631607055664,0,34,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.0005529522895812988,0,34,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.00025349855422973633,0,34,1,1,0,,0,1,0,
f0_closure_dur_low_f1,0.001651167869567871,0,34,1,1,0,,1,0,0,
f0_closure_dur_low_f1,0.002671658992767334,0,34,0,1,0,,1,0,0,
f0_closure_dur_high_f1,0.002159714698791504,0,34,0,0,1,,1,1,1,
f0_closure_dur_high_f1,0.0012174248695373535,0,34,0,0,1,,1,0,1,
f0_closure_dur_high_f1,0.004653632640838623,0,34,0,0,1,,0,1,1,
f0_closure_dur_high_f1,0.0020273923873901367,0,34,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0016030073165893555,0,34,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.006362736225128174,0,34,1,0,1,,0,1,1,
