Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_f0,stim1_Closure,stim2_voicing,stim2_F1,stim2_f0,stim2_Closure
f1_voicing_dur,0.0019491314888000488,0,41,0,0,,,0,1,,
f1_voicing_dur,0.0021499991416931152,1,41,0,0,,,1,1,,
f1_voicing_dur,1.0073184967041016e-05,0,41,0,0,,,1,0,,
f1_voicing_dur,3.319978713989258e-05,0,41,0,1,,,1,1,,
f1_voicing_dur,0.0018796920776367188,1,41,0,1,,,1,0,,
f1_voicing_dur,0.002058863639831543,0,41,1,1,,,1,0,,
f1_closure_dur_low_f0,0.0009492039680480957,0,41,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0006161332130432129,0,41,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.003636777400970459,0,41,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0006974339485168457,0,41,,0,0,1,,1,0,0
f1_closure_dur_low_f0,0.001042187213897705,0,41,,0,0,1,,1,0,1
f1_closure_dur_low_f0,0.002058744430541992,0,41,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.004384636878967285,0,41,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0014040470123291016,0,41,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0019002556800842285,0,41,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0010129809379577637,0,41,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0008894205093383789,0,41,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.0006307363510131836,0,41,,0,1,1,,1,1,0
f0_voicing_dur,9.387731552124023e-05,1,41,1,,0,,0,,1,
f0_voicing_dur,4.172325134277344e-07,0,41,1,,0,,0,,0,
f0_voicing_dur,0.00014209747314453125,0,41,1,,0,,1,,1,
f0_voicing_dur,9.721517562866211e-05,0,41,0,,1,,0,,0,
f0_voicing_dur,8.469820022583008e-05,0,41,0,,1,,1,,1,
f0_voicing_dur,0.00014716386795043945,1,41,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0003116726875305176,0,41,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.0007691383361816406,0,41,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.0003489851951599121,0,41,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0002110600471496582,0,41,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0010129809379577637,0,41,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.001978933811187744,0,41,,0,0,1,,0,1,0
f0_closure_dur_high_f1,0.0012280941009521484,0,41,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.0005133748054504395,0,41,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.004300415515899658,0,41,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.0019002556800842285,0,41,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.001493692398071289,0,41,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0063776373863220215,0,41,,1,1,0,,1,0,1
