Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_voicing,stim1_F1,stim2_f0,stim2_Closure,stim2_voicing,stim2_F1
f1_voicing_dur,0.0011195540428161621,0,66,,,0,0,,,0,1
f1_voicing_dur,0.0011432170867919922,1,66,,,0,0,,,1,1
f1_voicing_dur,1.329183578491211e-05,0,66,,,0,0,,,1,0
f1_voicing_dur,3.8623809814453125e-05,0,66,,,0,1,,,1,1
f1_voicing_dur,0.001133561134338379,1,66,,,0,1,,,1,0
f1_voicing_dur,0.0011331439018249512,0,66,,,1,1,,,1,0
f1_closure_dur_low_f0,0.00041681528091430664,0,66,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0003408193588256836,0,66,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0014911293983459473,0,66,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.00021988153457641602,0,66,0,1,,0,0,0,,1
f1_closure_dur_low_f0,0.0003993511199951172,0,66,0,1,,0,0,1,,1
f1_closure_dur_low_f0,0.0006726384162902832,0,66,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.001519620418548584,0,66,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0005696415901184082,0,66,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0006210803985595703,0,66,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0003452301025390625,0,66,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.00040149688720703125,0,66,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.00032573938369750977,0,66,1,1,,0,1,0,,1
f0_voicing_dur,8.90493392944336e-05,1,66,0,,1,,1,,0,
f0_voicing_dur,1.7881393432617188e-07,0,66,0,,1,,0,,0,
f0_voicing_dur,0.00010675191879272461,0,66,0,,1,,1,,1,
f0_voicing_dur,8.946657180786133e-05,0,66,1,,0,,0,,0,
f0_voicing_dur,7.277727127075195e-05,0,66,1,,0,,1,,1,
f0_voicing_dur,0.00010830163955688477,1,66,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00018399953842163086,0,66,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0003451108932495117,0,66,0,0,,0,0,1,,0
f0_closure_dur_low_f1,9.1552734375e-05,0,66,0,0,,0,1,0,,0
f0_closure_dur_low_f1,8.600950241088867e-05,0,66,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0003452301025390625,0,66,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.0006438493728637695,0,66,0,1,,0,1,0,,0
f0_closure_dur_high_f1,0.0005972981452941895,0,66,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0003745555877685547,0,66,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.0015674829483032227,0,66,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.0006210803985595703,0,66,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0006374716758728027,0,66,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.002249479293823242,0,66,1,0,,1,0,1,,1
