Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_voicing,stim1_Closure,stim2_F1,stim2_f0,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0032831430435180664,0,70,0,,0,,1,,0,
f1_voicing_dur,0.0032242536544799805,1,70,0,,0,,1,,1,
f1_voicing_dur,1.6510486602783203e-05,0,70,0,,0,,0,,1,
f1_voicing_dur,5.5730342864990234e-05,0,70,1,,0,,1,,1,
f1_voicing_dur,0.003275930881500244,1,70,1,,0,,0,,1,
f1_voicing_dur,0.003180265426635742,0,70,1,,1,,0,,1,
f1_closure_dur_low_f0,0.000955045223236084,0,70,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.000774085521697998,0,70,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.0037708282470703125,0,70,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0007240176200866699,0,70,0,0,,1,1,0,,0
f1_closure_dur_low_f0,0.001136481761932373,0,70,0,0,,1,1,0,,1
f1_closure_dur_low_f0,0.001934826374053955,0,70,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.004449069499969482,0,70,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0016938447952270508,0,70,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.001887977123260498,0,70,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0008713603019714355,0,70,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0010238289833068848,0,70,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.0007725954055786133,0,70,0,1,,1,1,1,,0
f0_voicing_dur,0.00019359588623046875,1,70,,0,1,,,1,0,
f0_voicing_dur,4.76837158203125e-07,0,70,,0,1,,,0,0,
f0_voicing_dur,0.0001487135887145996,0,70,,0,1,,,1,1,
f0_voicing_dur,0.00019091367721557617,0,70,,1,0,,,0,0,
f0_voicing_dur,0.00012189149856567383,0,70,,1,0,,,1,1,
f0_voicing_dur,0.00014847517013549805,1,70,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0004070401191711426,0,70,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.0007799863815307617,0,70,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.0002720952033996582,0,70,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00019627809524536133,0,70,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.0008713603019714355,0,70,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.0016635656356811523,0,70,0,0,,1,0,1,,0
f0_closure_dur_high_f1,0.0013664960861206055,0,70,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.0009392499923706055,0,70,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.003922402858734131,0,70,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.001887977123260498,0,70,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0014933943748474121,0,70,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.006252944469451904,0,70,1,1,,0,1,0,,1
