Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_F1,stim1_f0,stim1_voicing,stim2_Closure,stim2_F1,stim2_f0,stim2_voicing
f1_voicing_dur,0.0011855363845825195,0,32,,0,,0,,1,,0
f1_voicing_dur,0.0011423230171203613,1,32,,0,,0,,1,,1
f1_voicing_dur,5.239248275756836e-05,0,32,,0,,0,,0,,1
f1_voicing_dur,0.0001175999641418457,0,32,,1,,0,,1,,1
f1_voicing_dur,0.0013065934181213379,1,32,,1,,0,,0,,1
f1_voicing_dur,0.0011873841285705566,0,32,,1,,1,,0,,1
f1_closure_dur_low_f0,0.00040531158447265625,0,32,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.000356137752532959,0,32,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.001207888126373291,0,32,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.00034624338150024414,0,32,1,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0003762245178222656,0,32,1,0,0,,1,1,0,
f1_closure_dur_low_f0,0.000596463680267334,0,32,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.00202023983001709,0,32,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.0008089542388916016,0,32,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0006979107856750488,0,32,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0005247592926025391,0,32,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.0006560087203979492,0,32,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0005602240562438965,0,32,1,0,1,,0,1,1,
f0_voicing_dur,0.000280916690826416,1,32,,,0,1,,,1,0
f0_voicing_dur,1.1920928955078125e-07,0,32,,,0,1,,,0,0
f0_voicing_dur,0.00044035911560058594,0,32,,,0,1,,,1,1
f0_voicing_dur,0.00028139352798461914,0,32,,,1,0,,,0,0
f0_voicing_dur,0.000152587890625,0,32,,,1,0,,,1,1
f0_voicing_dur,0.00044286251068115234,1,32,,,0,0,,,1,1
f0_closure_dur_low_f1,0.0002918243408203125,0,32,0,0,0,,1,0,1,
f0_closure_dur_low_f1,0.00031936168670654297,0,32,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0002880692481994629,0,32,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00018769502639770508,0,32,1,0,1,,1,0,0,
f0_closure_dur_low_f1,0.0005247592926025391,0,32,1,0,1,,0,0,1,
f0_closure_dur_low_f1,0.0008925199508666992,0,32,1,0,0,,0,0,1,
f0_closure_dur_high_f1,0.0007786154747009277,0,32,0,1,0,,1,1,1,
f0_closure_dur_high_f1,0.0005142688751220703,0,32,0,1,0,,0,1,1,
f0_closure_dur_high_f1,0.0015603303909301758,0,32,0,1,0,,1,1,0,
f0_closure_dur_high_f1,0.0006979107856750488,0,32,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0006073117256164551,0,32,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.002104520797729492,0,32,0,1,1,,1,1,0,
