Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_voicing,stim1_Closure,stim2_F1,stim2_f0,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0010207891464233398,0,1,0,,0,,1,,0,
f1_voicing_dur,0.0011134743690490723,1,1,0,,0,,1,,1,
f1_voicing_dur,2.4318695068359375e-05,0,1,0,,0,,0,,1,
f1_voicing_dur,4.374980926513672e-05,0,1,1,,0,,1,,1,
f1_voicing_dur,0.0010575056076049805,1,1,1,,0,,0,,1,
f1_voicing_dur,0.001114189624786377,0,1,1,,1,,0,,1,
f1_closure_dur_low_f0,0.0004048943519592285,0,1,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0003141164779663086,0,1,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.001530468463897705,0,1,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.00031250715255737305,0,1,0,0,,1,1,0,,0
f1_closure_dur_low_f0,0.00044018030166625977,0,1,0,0,,1,1,0,,1
f1_closure_dur_low_f0,0.0008540749549865723,0,1,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.001888871192932129,0,1,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0006043314933776855,0,1,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0008101463317871094,0,1,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0005283951759338379,0,1,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0004493594169616699,0,1,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.00043320655822753906,0,1,0,1,,1,1,1,,0
f0_voicing_dur,7.510185241699219e-05,1,1,,0,1,,,1,0,
f0_voicing_dur,1.1920928955078125e-07,0,1,,0,1,,,0,0,
f0_voicing_dur,8.32676887512207e-05,0,1,,0,1,,,1,1,
f0_voicing_dur,7.474422454833984e-05,0,1,,1,0,,,0,0,
f0_voicing_dur,5.9664249420166016e-05,0,1,,1,0,,,1,1,
f0_voicing_dur,8.428096771240234e-05,1,1,,0,0,,,1,1,
f0_closure_dur_low_f1,0.00022208690643310547,0,1,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.0003746151924133301,0,1,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.0001633167266845703,0,1,0,0,,0,0,1,,0
f0_closure_dur_low_f1,8.618831634521484e-05,0,1,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.0005283951759338379,0,1,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.0008783340454101562,0,1,0,0,,1,0,1,,0
f0_closure_dur_high_f1,0.000643312931060791,0,1,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.0004063248634338379,0,1,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.001833498477935791,0,1,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.0008101463317871094,0,1,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0007533431053161621,0,1,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.002825140953063965,0,1,1,1,,0,1,0,,1
