Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_voicing,stim1_Closure,stim2_F1,stim2_f0,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0025985240936279297,0,35,0,,0,,1,,0,
f1_voicing_dur,0.0027468204498291016,1,35,0,,0,,1,,1,
f1_voicing_dur,6.699562072753906e-05,0,35,0,,0,,0,,1,
f1_voicing_dur,0.00014483928680419922,0,35,1,,0,,1,,1,
f1_voicing_dur,0.0029737353324890137,1,35,1,,0,,0,,1,
f1_voicing_dur,0.002979874610900879,0,35,1,,1,,0,,1,
f1_closure_dur_low_f0,0.0011400580406188965,0,35,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.000777900218963623,0,35,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.003630220890045166,0,35,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0009395480155944824,0,35,0,0,,1,1,0,,0
f1_closure_dur_low_f0,0.0008450746536254883,0,35,0,0,,1,1,0,,1
f1_closure_dur_low_f0,0.002137482166290283,0,35,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.00478672981262207,0,35,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0017219781875610352,0,35,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.002073824405670166,0,35,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.001199483871459961,0,35,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.001169443130493164,0,35,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.0011715888977050781,0,35,0,1,,1,1,1,,0
f0_voicing_dur,0.00012642145156860352,1,35,,0,1,,,1,0,
f0_voicing_dur,2.980232238769531e-07,0,35,,0,1,,,0,0,
f0_voicing_dur,0.00018334388732910156,0,35,,0,1,,,1,1,
f0_voicing_dur,0.00012373924255371094,0,35,,1,0,,,0,0,
f0_voicing_dur,0.00011903047561645508,0,35,,1,0,,,1,1,
f0_voicing_dur,0.00018167495727539062,1,35,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0005393028259277344,0,35,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.0010960698127746582,0,35,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.0002987384796142578,0,35,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.0002446174621582031,0,35,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.001199483871459961,0,35,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.0022246837615966797,0,35,0,0,,1,0,1,,0
f0_closure_dur_high_f1,0.0015854239463806152,0,35,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.0008628368377685547,0,35,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.004909932613372803,0,35,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.002073824405670166,0,35,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0019054412841796875,0,35,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.007341146469116211,0,35,1,1,,0,1,0,,1
