Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_F1,stim1_voicing,stim1_Closure,stim2_f0,stim2_F1,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0013378262519836426,0,19,,0,0,,,1,0,
f1_voicing_dur,0.0013365745544433594,1,19,,0,0,,,1,1,
f1_voicing_dur,6.377696990966797e-06,0,19,,0,0,,,0,1,
f1_voicing_dur,1.7404556274414062e-05,0,19,,1,0,,,1,1,
f1_voicing_dur,0.0014085173606872559,1,19,,1,0,,,0,1,
f1_voicing_dur,0.0013985037803649902,0,19,,1,1,,,0,1,
f1_closure_dur_low_f0,0.0005221962928771973,0,19,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0003471970558166504,0,19,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0020170211791992188,0,19,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.00033926963806152344,0,19,0,0,,1,0,1,,0
f1_closure_dur_low_f0,0.0005769729614257812,0,19,0,0,,1,0,1,,1
f1_closure_dur_low_f0,0.0010488033294677734,0,19,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.002551436424255371,0,19,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0008033514022827148,0,19,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.001095116138458252,0,19,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.000593721866607666,0,19,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0004844069480895996,0,19,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.000316619873046875,0,19,1,0,,1,1,1,,0
f0_voicing_dur,4.1365623474121094e-05,1,19,0,,1,,1,,0,
f0_voicing_dur,2.384185791015625e-07,0,19,0,,1,,0,,0,
f0_voicing_dur,4.4286251068115234e-05,0,19,0,,1,,1,,1,
f0_voicing_dur,4.112720489501953e-05,0,19,1,,0,,0,,0,
f0_voicing_dur,3.6597251892089844e-05,0,19,1,,0,,1,,1,
f0_voicing_dur,4.3451786041259766e-05,1,19,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00019681453704833984,0,19,0,0,,0,1,0,,1
f0_closure_dur_low_f1,0.0004374384880065918,0,19,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.00020378828048706055,0,19,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00011640787124633789,0,19,1,0,,1,0,0,,1
f0_closure_dur_low_f1,0.000593721866607666,0,19,1,0,,1,1,0,,0
f0_closure_dur_low_f1,0.0011234283447265625,0,19,0,0,,1,1,0,,0
f0_closure_dur_high_f1,0.0006316900253295898,0,19,0,1,,0,1,1,,1
f0_closure_dur_high_f1,0.0004197359085083008,0,19,0,1,,0,1,1,,0
f0_closure_dur_high_f1,0.002131044864654541,0,19,0,1,,0,0,1,,1
f0_closure_dur_high_f1,0.001095116138458252,0,19,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0007364153861999512,0,19,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.003447890281677246,0,19,1,1,,0,0,1,,1
