Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.0015576481819152832,0,7,0,,0,,0,,1,
f1_voicing_dur,0.0016794800758361816,1,7,0,,0,,1,,1,
f1_voicing_dur,6.139278411865234e-06,0,7,0,,0,,1,,0,
f1_voicing_dur,2.5153160095214844e-05,0,7,0,,1,,1,,1,
f1_voicing_dur,0.0015859007835388184,1,7,0,,1,,1,,0,
f1_voicing_dur,0.0016962885856628418,0,7,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0005933642387390137,0,7,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.000418245792388916,0,7,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0025406479835510254,0,7,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0002624392509460449,0,7,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.0007755756378173828,0,7,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.0011586546897888184,0,7,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0032392144203186035,0,7,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0010425448417663574,0,7,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0010883808135986328,0,7,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0007195472717285156,0,7,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.00074005126953125,0,7,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.00027680397033691406,0,7,,1,0,1,,1,1,0
f0_voicing_dur,4.267692565917969e-05,1,7,1,0,,,0,1,,
f0_voicing_dur,2.980232238769531e-07,0,7,1,0,,,0,0,,
f0_voicing_dur,4.696846008300781e-05,0,7,1,0,,,1,1,,
f0_voicing_dur,4.273653030395508e-05,0,7,0,1,,,0,0,,
f0_voicing_dur,4.965066909790039e-05,0,7,0,1,,,1,1,,
f0_voicing_dur,4.673004150390625e-05,1,7,0,0,,,1,1,,
f0_closure_dur_low_f1,0.00020629167556762695,0,7,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0005216002464294434,0,7,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00024813413619995117,0,7,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00015169382095336914,0,7,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.0007195472717285156,0,7,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.0013997554779052734,0,7,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0005340576171875,0,7,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.0002853870391845703,0,7,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.0020942091941833496,0,7,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0010883808135986328,0,7,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0007181167602539062,0,7,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.003443002700805664,0,7,,1,1,0,,0,1,1
