Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_Closure,stim1_F1,stim1_f0,stim2_voicing,stim2_Closure,stim2_F1,stim2_f0
f1_voicing_dur,0.0027286410331726074,0,68,0,,0,,0,,1,
f1_voicing_dur,0.0032529830932617188,1,68,0,,0,,1,,1,
f1_voicing_dur,7.2479248046875e-05,0,68,0,,0,,1,,0,
f1_voicing_dur,0.0002078413963317871,0,68,0,,1,,1,,1,
f1_voicing_dur,0.002664029598236084,1,68,0,,1,,1,,0,
f1_voicing_dur,0.003048837184906006,0,68,1,,1,,1,,0,
f1_closure_dur_low_f0,0.000975191593170166,0,68,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0010187625885009766,0,68,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.003111898899078369,0,68,,0,0,0,,1,1,0
f1_closure_dur_low_f0,0.0006688833236694336,0,68,,1,0,0,,0,1,0
f1_closure_dur_low_f0,0.0008100271224975586,0,68,,1,0,0,,1,1,0
f1_closure_dur_low_f0,0.0013828873634338379,0,68,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.003991067409515381,0,68,,1,1,1,,0,0,1
f1_closure_dur_high_f0,0.0014877915382385254,0,68,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0013251304626464844,0,68,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.000999748706817627,0,68,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.0013574957847595215,0,68,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0010268092155456543,0,68,,1,0,1,,0,1,1
f0_voicing_dur,0.0003306865692138672,1,68,1,,,0,0,,,1
f0_voicing_dur,8.940696716308594e-07,0,68,1,,,0,0,,,0
f0_voicing_dur,0.0005963444709777832,0,68,1,,,0,1,,,1
f0_voicing_dur,0.0003269314765930176,0,68,0,,,1,0,,,0
f0_voicing_dur,0.0002773404121398926,0,68,0,,,1,1,,,1
f0_voicing_dur,0.0006010532379150391,1,68,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0005352497100830078,0,68,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0007615089416503906,0,68,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0003848075866699219,0,68,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00025391578674316406,0,68,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.000999748706817627,0,68,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.0016937255859375,0,68,,1,0,0,,0,0,1
f0_closure_dur_high_f1,0.0015746355056762695,0,68,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.0009830594062805176,0,68,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0031489133834838867,0,68,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.0013251304626464844,0,68,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.001219332218170166,0,68,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.004339694976806641,0,68,,0,1,1,,1,1,0
