Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.002223968505859375,0,14,0,,0,,0,,1,
f1_voicing_dur,0.002491891384124756,1,14,0,,0,,1,,1,
f1_voicing_dur,5.364418029785156e-05,0,14,0,,0,,1,,0,
f1_voicing_dur,0.00014472007751464844,0,14,0,,1,,1,,1,
f1_voicing_dur,0.002357959747314453,1,14,0,,1,,1,,0,
f1_voicing_dur,0.002530336380004883,0,14,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0007044076919555664,0,14,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0007402896881103516,0,14,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0025042295455932617,0,14,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0006873011589050293,0,14,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.0007194280624389648,0,14,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.0014081001281738281,0,14,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0034241080284118652,0,14,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0014195442199707031,0,14,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0014841556549072266,0,14,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.000819861888885498,0,14,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0010965466499328613,0,14,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.001219630241394043,0,14,,1,0,1,,1,1,0
f0_voicing_dur,0.00015658140182495117,1,14,1,0,,,0,1,,
f0_voicing_dur,5.364418029785156e-07,0,14,1,0,,,0,0,,
f0_voicing_dur,0.0002606511116027832,0,14,1,0,,,1,1,,
f0_voicing_dur,0.00015407800674438477,0,14,0,1,,,0,0,,
f0_voicing_dur,0.00015717744827270508,0,14,0,1,,,1,1,,
f0_voicing_dur,0.00026404857635498047,1,14,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0004051327705383301,0,14,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.0006428360939025879,0,14,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00036531686782836914,0,14,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00022900104522705078,0,14,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.000819861888885498,0,14,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.0015442371368408203,0,14,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0016379356384277344,0,14,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.001081705093383789,0,14,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.0033501386642456055,0,14,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0014841556549072266,0,14,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.001184701919555664,0,14,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.004686713218688965,0,14,,1,1,0,,0,1,1
