Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_f0,stim1_Closure,stim1_voicing,stim2_F1,stim2_f0,stim2_Closure,stim2_voicing
f1_voicing_dur,0.0019450783729553223,0,61,0,,,0,1,,,0
f1_voicing_dur,0.0020334720611572266,1,61,0,,,0,1,,,1
f1_voicing_dur,7.337331771850586e-05,0,61,0,,,0,0,,,1
f1_voicing_dur,0.00017720460891723633,0,61,1,,,0,1,,,1
f1_voicing_dur,0.0021472573280334473,1,61,1,,,0,0,,,1
f1_voicing_dur,0.0021120309829711914,0,61,1,,,1,0,,,1
f1_closure_dur_low_f0,0.0005933642387390137,0,61,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.0007396936416625977,0,61,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.0018473267555236816,0,61,0,0,0,,1,0,1,
f1_closure_dur_low_f0,0.0005600452423095703,0,61,0,0,1,,1,0,0,
f1_closure_dur_low_f0,0.0004987716674804688,0,61,0,0,1,,1,0,1,
f1_closure_dur_low_f0,0.0008971691131591797,0,61,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.002786576747894287,0,61,1,1,1,,0,1,0,
f1_closure_dur_high_f0,0.0012910962104797363,0,61,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0008905529975891113,0,61,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0006262063980102539,0,61,0,1,0,,0,1,1,
f1_closure_dur_high_f0,0.0011228322982788086,0,61,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.000988602638244629,0,61,0,1,1,,1,1,0,
f0_voicing_dur,0.00022357702255249023,1,61,,0,,1,,1,,0
f0_voicing_dur,2.980232238769531e-07,0,61,,0,,1,,0,,0
f0_voicing_dur,0.000415802001953125,0,61,,0,,1,,1,,1
f0_voicing_dur,0.00022178888320922852,0,61,,1,,0,,0,,0
f0_voicing_dur,0.00022417306900024414,0,61,,1,,0,,1,,1
f0_voicing_dur,0.00041663646697998047,1,61,,0,,0,,1,,1
f0_closure_dur_low_f1,0.0003986358642578125,0,61,0,0,0,,0,1,1,
f0_closure_dur_low_f1,0.00048530101776123047,0,61,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00031942129135131836,0,61,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.0001906752586364746,0,61,0,1,1,,0,0,1,
f0_closure_dur_low_f1,0.0006262063980102539,0,61,0,1,1,,0,1,0,
f0_closure_dur_low_f1,0.001065075397491455,0,61,0,0,1,,0,1,0,
f0_closure_dur_high_f1,0.0015494823455810547,0,61,1,0,0,,1,1,1,
f0_closure_dur_high_f1,0.0010756254196166992,0,61,1,0,0,,1,1,0,
f0_closure_dur_high_f1,0.002467930316925049,0,61,1,0,0,,1,0,1,
f0_closure_dur_high_f1,0.0008905529975891113,0,61,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.0010513663291931152,0,61,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0030204057693481445,0,61,1,1,0,,1,0,1,
