Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_Closure,stim1_F1,stim2_voicing,stim2_f0,stim2_Closure,stim2_F1
f1_voicing_dur,0.0009350180625915527,0,15,0,,,0,0,,,1
f1_voicing_dur,0.0011554956436157227,1,15,0,,,0,1,,,1
f1_voicing_dur,4.392862319946289e-05,0,15,0,,,0,1,,,0
f1_voicing_dur,0.00010150671005249023,0,15,0,,,1,1,,,1
f1_voicing_dur,0.0009502768516540527,1,15,0,,,1,1,,,0
f1_voicing_dur,0.0010918378829956055,0,15,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0003579258918762207,0,15,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.00026345252990722656,0,15,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0011500120162963867,0,15,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0002903938293457031,0,15,,0,1,0,,0,0,1
f1_closure_dur_low_f0,0.00031566619873046875,0,15,,0,1,0,,0,1,1
f1_closure_dur_low_f0,0.0006177425384521484,0,15,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0013924837112426758,0,15,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0005537867546081543,0,15,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0005533695220947266,0,15,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0002930164337158203,0,15,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0003731846809387207,0,15,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.00028836727142333984,0,15,,1,1,0,,1,0,1
f0_voicing_dur,8.577108383178711e-05,1,15,1,0,,,0,1,,
f0_voicing_dur,2.384185791015625e-07,0,15,1,0,,,0,0,,
f0_voicing_dur,0.00014162063598632812,0,15,1,0,,,1,1,,
f0_voicing_dur,8.636713027954102e-05,0,15,0,1,,,0,0,,
f0_voicing_dur,9.447336196899414e-05,0,15,0,1,,,1,1,,
f0_voicing_dur,0.0001448988914489746,1,15,0,0,,,1,1,,
f0_closure_dur_low_f1,0.00017654895782470703,0,15,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0002474188804626465,0,15,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.00018078088760375977,0,15,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00012689828872680664,0,15,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0002930164337158203,0,15,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0005983710289001465,0,15,,0,1,0,,1,0,0
f0_closure_dur_high_f1,0.0006026625633239746,0,15,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.00045233964920043945,0,15,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.0010697245597839355,0,15,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0005533695220947266,0,15,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.000470578670501709,0,15,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0016815662384033203,0,15,,1,0,1,,0,1,1
