Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_f0,stim1_Closure,stim2_voicing,stim2_F1,stim2_f0,stim2_Closure
f1_voicing_dur,0.0017867684364318848,0,63,0,0,,,0,1,,
f1_voicing_dur,0.0016663670539855957,1,63,0,0,,,1,1,,
f1_voicing_dur,1.2040138244628906e-05,0,63,0,0,,,1,0,,
f1_voicing_dur,2.6524066925048828e-05,0,63,0,1,,,1,1,,
f1_voicing_dur,0.0019200444221496582,1,63,0,1,,,1,0,,
f1_voicing_dur,0.0017757415771484375,0,63,1,1,,,1,0,,
f1_closure_dur_low_f0,0.000941932201385498,0,63,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.00047707557678222656,0,63,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0030879974365234375,0,63,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.00045168399810791016,0,63,,0,0,1,,1,0,0
f1_closure_dur_low_f0,0.0007307529449462891,0,63,,0,0,1,,1,0,1
f1_closure_dur_low_f0,0.0015572309494018555,0,63,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.003815948963165283,0,63,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0011349916458129883,0,63,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0017094612121582031,0,63,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.000975489616394043,0,63,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0007031559944152832,0,63,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.0005589127540588379,0,63,,0,1,1,,1,1,0
f0_voicing_dur,8.910894393920898e-05,1,63,1,,0,,0,,1,
f0_voicing_dur,2.980232238769531e-07,0,63,1,,0,,0,,0,
f0_voicing_dur,0.00011646747589111328,0,63,1,,0,,1,,1,
f0_voicing_dur,9.21487808227539e-05,0,63,0,,1,,0,,0,
f0_voicing_dur,5.227327346801758e-05,0,63,0,,1,,1,,1,
f0_voicing_dur,0.00011831521987915039,1,63,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00043016672134399414,0,63,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.0008025169372558594,0,63,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.0002390742301940918,0,63,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0001658797264099121,0,63,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.000975489616394043,0,63,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.0017117857933044434,0,63,,0,0,1,,0,1,0
f0_closure_dur_high_f1,0.00115126371383667,0,63,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.00048595666885375977,0,63,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.003941237926483154,0,63,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.0017094612121582031,0,63,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0012998580932617188,0,63,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.005671977996826172,0,63,,1,1,0,,1,0,1
