Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_Closure,stim1_f0,stim1_F1,stim2_voicing,stim2_Closure,stim2_f0,stim2_F1
f1_voicing_dur,0.0045397281646728516,0,13,0,,,0,0,,,1
f1_voicing_dur,0.004613161087036133,1,13,0,,,0,1,,,1
f1_voicing_dur,8.052587509155273e-05,0,13,0,,,0,1,,,0
f1_voicing_dur,0.00022792816162109375,0,13,0,,,1,1,,,1
f1_voicing_dur,0.004510343074798584,1,13,0,,,1,1,,,0
f1_voicing_dur,0.004446208477020264,0,13,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0008053779602050781,0,13,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0014199614524841309,0,13,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0029445886611938477,0,13,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0008044838905334473,0,13,,1,0,0,,0,0,1
f1_closure_dur_low_f0,0.0008563399314880371,0,13,,1,0,0,,1,0,1
f1_closure_dur_low_f0,0.0011513829231262207,0,13,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.0035439729690551758,0,13,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.001972973346710205,0,13,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.001132667064666748,0,13,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0007376670837402344,0,13,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.0017872452735900879,0,13,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.0019189715385437012,0,13,,1,1,0,,0,1,1
f0_voicing_dur,0.0002751350402832031,1,13,1,,0,,0,,1,
f0_voicing_dur,7.152557373046875e-07,0,13,1,,0,,0,,0,
f0_voicing_dur,0.0006534457206726074,0,13,1,,0,,1,,1,
f0_voicing_dur,0.0002726912498474121,0,13,0,,1,,0,,0,
f0_voicing_dur,0.00041478872299194336,0,13,0,,1,,1,,1,
f0_voicing_dur,0.0006674528121948242,1,13,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00048798322677612305,0,13,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.000685274600982666,0,13,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.0004011988639831543,0,13,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.000295102596282959,0,13,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0007376670837402344,0,13,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0014504790306091309,0,13,,1,0,0,,0,1,0
f0_closure_dur_high_f1,0.00209200382232666,0,13,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.0016080737113952637,0,13,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0029314160346984863,0,13,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.001132667064666748,0,13,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.001785576343536377,0,13,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.004455506801605225,0,13,,0,1,1,,1,0,1
