Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_voicing,stim1_Closure,stim1_f0,stim2_F1,stim2_voicing,stim2_Closure,stim2_f0
f1_voicing_dur,0.0012177824974060059,0,23,0,0,,,1,0,,
f1_voicing_dur,0.0013502240180969238,1,23,0,0,,,1,1,,
f1_voicing_dur,2.568960189819336e-05,0,23,0,0,,,0,1,,
f1_voicing_dur,5.120038986206055e-05,0,23,1,0,,,1,1,,
f1_voicing_dur,0.0013162493705749512,1,23,1,0,,,0,1,,
f1_voicing_dur,0.0014104843139648438,0,23,1,1,,,0,1,,
f1_closure_dur_low_f0,0.00047266483306884766,0,23,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0003998279571533203,0,23,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.0019258856773376465,0,23,0,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0003401637077331543,0,23,0,,1,0,1,,0,0
f1_closure_dur_low_f0,0.0006238222122192383,0,23,0,,1,0,1,,1,0
f1_closure_dur_low_f0,0.000947117805480957,0,23,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.0020126700401306152,0,23,1,,1,1,0,,0,1
f1_closure_dur_high_f0,0.0007077455520629883,0,23,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0007916688919067383,0,23,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.000456392765045166,0,23,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.0004974603652954102,0,23,0,,0,1,1,,0,1
f1_closure_dur_high_f0,0.00035458803176879883,0,23,0,,1,1,1,,0,1
f0_voicing_dur,0.0001595616340637207,1,23,,1,,0,,0,,1
f0_voicing_dur,2.384185791015625e-07,0,23,,1,,0,,0,,0
f0_voicing_dur,0.0001455545425415039,0,23,,1,,0,,1,,1
f0_voicing_dur,0.00015497207641601562,0,23,,0,,1,,0,,0
f0_voicing_dur,7.003545761108398e-05,0,23,,0,,1,,1,,1
f0_voicing_dur,0.0001417994499206543,1,23,,0,,0,,1,,1
f0_closure_dur_low_f1,0.000179290771484375,0,23,0,,0,0,0,,1,1
f0_closure_dur_low_f1,0.00040650367736816406,0,23,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.00015592575073242188,0,23,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00011420249938964844,0,23,0,,1,1,0,,1,0
f0_closure_dur_low_f1,0.000456392765045166,0,23,0,,1,1,0,,0,1
f0_closure_dur_low_f1,0.0009142160415649414,0,23,0,,1,0,0,,0,1
f0_closure_dur_high_f1,0.0005537271499633789,0,23,1,,0,0,1,,1,1
f0_closure_dur_high_f1,0.0004318356513977051,0,23,1,,0,0,1,,0,1
f0_closure_dur_high_f1,0.0017118453979492188,0,23,1,,0,0,1,,1,0
f0_closure_dur_high_f1,0.0007916688919067383,0,23,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.0007828474044799805,0,23,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.002893209457397461,0,23,1,,0,1,1,,1,0
