Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_voicing,stim1_F1,stim1_Closure,stim2_f0,stim2_voicing,stim2_F1,stim2_Closure
f1_voicing_dur,0.0018095970153808594,0,46,,0,0,,,0,1,
f1_voicing_dur,0.0019622445106506348,1,46,,0,0,,,1,1,
f1_voicing_dur,4.011392593383789e-05,0,46,,0,0,,,1,0,
f1_voicing_dur,0.00010085105895996094,0,46,,0,1,,,1,1,
f1_voicing_dur,0.0019782185554504395,1,46,,0,1,,,1,0,
f1_voicing_dur,0.0020844340324401855,0,46,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0007547140121459961,0,46,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0005307793617248535,0,46,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0022374391555786133,0,46,0,,0,0,0,,1,1
f1_closure_dur_low_f0,0.0005803108215332031,0,46,0,,0,1,0,,1,0
f1_closure_dur_low_f0,0.0006352663040161133,0,46,0,,0,1,0,,1,1
f1_closure_dur_low_f0,0.0011026263236999512,0,46,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.0035670995712280273,0,46,1,,1,1,1,,0,0
f1_closure_dur_high_f0,0.0013373494148254395,0,46,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0013284087181091309,0,46,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0008327364921569824,0,46,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.001055300235748291,0,46,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.0008497238159179688,0,46,1,,0,1,1,,1,0
f0_voicing_dur,0.0003516674041748047,1,46,0,1,,,1,0,,
f0_voicing_dur,2.980232238769531e-07,0,46,0,1,,,0,0,,
f0_voicing_dur,0.0003909468650817871,0,46,0,1,,,1,1,,
f0_voicing_dur,0.00034695863723754883,0,46,1,0,,,0,0,,
f0_voicing_dur,0.00019091367721557617,0,46,1,0,,,1,1,,
f0_voicing_dur,0.0003877878189086914,1,46,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0004646182060241699,0,46,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.0005345940589904785,0,46,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.0002937912940979004,0,46,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.00019568204879760742,0,46,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0008327364921569824,0,46,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0012716054916381836,0,46,0,,0,1,1,,0,0
f0_closure_dur_high_f1,0.0012883543968200684,0,46,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.00048029422760009766,0,46,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.0027728676795959473,0,46,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.0013284087181091309,0,46,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.0008182525634765625,0,46,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.0035945773124694824,0,46,1,,1,0,0,,1,1
