Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_Closure,stim1_voicing,stim1_f0,stim2_F1,stim2_Closure,stim2_voicing,stim2_f0
f1_voicing_dur,0.0010182857513427734,0,56,0,,0,,1,,0,
f1_voicing_dur,0.0011482834815979004,1,56,0,,0,,1,,1,
f1_voicing_dur,2.86102294921875e-05,0,56,0,,0,,0,,1,
f1_voicing_dur,7.915496826171875e-05,0,56,1,,0,,1,,1,
f1_voicing_dur,0.0011437535285949707,1,56,1,,0,,0,,1,
f1_voicing_dur,0.0012336969375610352,0,56,1,,1,,0,,1,
f1_closure_dur_low_f0,0.0005210041999816895,0,56,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.00042688846588134766,0,56,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.001879870891571045,0,56,0,0,,0,1,1,,0
f1_closure_dur_low_f0,0.0003586411476135254,0,56,0,1,,0,1,0,,0
f1_closure_dur_low_f0,0.000544130802154541,0,56,0,1,,0,1,1,,0
f1_closure_dur_low_f0,0.0009276270866394043,0,56,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.002156972885131836,0,56,1,1,,1,0,0,,1
f1_closure_dur_high_f0,0.0007461309432983398,0,56,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0008460879325866699,0,56,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0005082488059997559,0,56,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.0005587339401245117,0,56,0,0,,1,1,0,,1
f1_closure_dur_high_f0,0.0004183650016784668,0,56,0,1,,1,1,0,,1
f0_voicing_dur,0.00015997886657714844,1,56,,,1,0,,,0,1
f0_voicing_dur,3.5762786865234375e-07,0,56,,,1,0,,,0,0
f0_voicing_dur,0.00015348196029663086,0,56,,,1,0,,,1,1
f0_voicing_dur,0.00015598535537719727,0,56,,,0,1,,,0,0
f0_voicing_dur,0.0001399517059326172,0,56,,,0,1,,,1,1
f0_voicing_dur,0.00015741586685180664,1,56,,,0,0,,,1,1
f0_closure_dur_low_f1,0.0002022385597229004,0,56,0,0,,0,0,1,,1
f0_closure_dur_low_f1,0.00040793418884277344,0,56,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.0002575516700744629,0,56,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.00016134977340698242,0,56,0,1,,1,0,1,,0
f0_closure_dur_low_f1,0.0005082488059997559,0,56,0,1,,1,0,0,,1
f0_closure_dur_low_f1,0.0010625123977661133,0,56,0,1,,0,0,0,,1
f0_closure_dur_high_f1,0.0005919337272644043,0,56,1,0,,0,1,1,,1
f0_closure_dur_high_f1,0.00046819448471069336,0,56,1,0,,0,1,0,,1
f0_closure_dur_high_f1,0.0016658902168273926,0,56,1,0,,0,1,1,,0
f0_closure_dur_high_f1,0.0008460879325866699,0,56,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0007277727127075195,0,56,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0028342604637145996,0,56,1,0,,1,1,1,,0
