Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_voicing,stim1_f0,stim1_Closure,stim2_F1,stim2_voicing,stim2_f0,stim2_Closure
f1_voicing_dur,0.0022121071815490723,0,37,0,0,,,1,0,,
f1_voicing_dur,0.0022507905960083008,1,37,0,0,,,1,1,,
f1_voicing_dur,2.396106719970703e-05,0,37,0,0,,,0,1,,
f1_voicing_dur,6.80685043334961e-05,0,37,1,0,,,1,1,,
f1_voicing_dur,0.002283632755279541,1,37,1,0,,,0,1,,
f1_voicing_dur,0.0022754669189453125,0,37,1,1,,,0,1,,
f1_closure_dur_low_f0,0.000964045524597168,0,37,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0006256103515625,0,37,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.0031921863555908203,0,37,0,,0,0,1,,0,1
f1_closure_dur_low_f0,0.0007564425468444824,0,37,0,,0,1,1,,0,0
f1_closure_dur_low_f0,0.0008077621459960938,0,37,0,,0,1,1,,0,1
f1_closure_dur_low_f0,0.0019283890724182129,0,37,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.0034424662590026855,0,37,1,,1,1,0,,1,0
f1_closure_dur_high_f0,0.0011197328567504883,0,37,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0016607046127319336,0,37,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0009530782699584961,0,37,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.0007698535919189453,0,37,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.0009036660194396973,0,37,0,,1,1,1,,1,0
f0_voicing_dur,0.00019568204879760742,1,37,,1,0,,,0,1,
f0_voicing_dur,2.980232238769531e-07,0,37,,1,0,,,0,0,
f0_voicing_dur,0.00019878149032592773,0,37,,1,0,,,1,1,
f0_voicing_dur,0.00019532442092895508,0,37,,0,1,,,0,0,
f0_voicing_dur,0.00010830163955688477,0,37,,0,1,,,1,1,
f0_voicing_dur,0.0001990199089050293,1,37,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0004990100860595703,0,37,0,,0,0,0,,1,1
f0_closure_dur_low_f1,0.0008440017700195312,0,37,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00018346309661865234,0,37,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.00013715028762817383,0,37,0,,1,1,0,,0,1
f0_closure_dur_low_f1,0.0009530782699584961,0,37,0,,1,1,0,,1,0
f0_closure_dur_low_f1,0.0015652775764465332,0,37,0,,0,1,0,,1,0
f0_closure_dur_high_f1,0.001234591007232666,0,37,1,,0,0,1,,1,1
f0_closure_dur_high_f1,0.0007277131080627441,0,37,1,,0,0,1,,1,0
f0_closure_dur_high_f1,0.0034481287002563477,0,37,1,,0,0,1,,0,1
f0_closure_dur_high_f1,0.0016607046127319336,0,37,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.0013719797134399414,0,37,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.005474209785461426,0,37,1,,1,0,1,,0,1
