Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_f0,stim1_voicing,stim1_F1,stim2_Closure,stim2_f0,stim2_voicing,stim2_F1
f1_voicing_dur,0.002259671688079834,0,10,,,0,0,,,0,1
f1_voicing_dur,0.0022320151329040527,1,10,,,0,0,,,1,1
f1_voicing_dur,2.676248550415039e-05,0,10,,,0,0,,,1,0
f1_voicing_dur,5.4836273193359375e-05,0,10,,,0,1,,,1,1
f1_voicing_dur,0.002416372299194336,1,10,,,0,1,,,1,0
f1_voicing_dur,0.0023459792137145996,0,10,,,1,1,,,1,0
f1_closure_dur_low_f0,0.0008526444435119629,0,10,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.0008440613746643066,0,10,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0035191774368286133,0,10,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0006722807884216309,0,10,1,0,,0,0,0,,1
f1_closure_dur_low_f0,0.001127004623413086,0,10,1,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0017488598823547363,0,10,0,0,,1,1,0,,1
f1_closure_dur_high_f0,0.004785776138305664,0,10,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0017253756523132324,0,10,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.001688241958618164,0,10,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.001166701316833496,0,10,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.001345515251159668,0,10,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0010004639625549316,0,10,1,1,,0,0,1,,1
f0_voicing_dur,0.00010579824447631836,1,10,,0,1,,,1,0,
f0_voicing_dur,4.76837158203125e-07,0,10,,0,1,,,0,0,
f0_voicing_dur,0.0002072453498840332,0,10,,0,1,,,1,1,
f0_voicing_dur,0.00010538101196289062,0,10,,1,0,,,0,0,
f0_voicing_dur,0.00011032819747924805,0,10,,1,0,,,1,1,
f0_voicing_dur,0.00021022558212280273,1,10,,0,0,,,1,1,
f0_closure_dur_low_f1,0.0004658699035644531,0,10,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0008236169815063477,0,10,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.000331878662109375,0,10,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00020003318786621094,0,10,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.001166701316833496,0,10,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0019481182098388672,0,10,1,0,,0,0,1,,0
f0_closure_dur_high_f1,0.0015605688095092773,0,10,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0008041262626647949,0,10,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.004045248031616211,0,10,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.001688241958618164,0,10,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.001422584056854248,0,10,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.005686044692993164,0,10,0,1,,1,1,0,,1
