Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_F1,stim1_voicing,stim1_Closure,stim2_f0,stim2_F1,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0013813376426696777,0,65,,0,0,,,1,0,
f1_voicing_dur,0.001499950885772705,1,65,,0,0,,,1,1,
f1_voicing_dur,4.011392593383789e-05,0,65,,0,0,,,0,1,
f1_voicing_dur,9.775161743164062e-05,0,65,,1,0,,,1,1,
f1_voicing_dur,0.0014129877090454102,1,65,,1,0,,,0,1,
f1_voicing_dur,0.0014626383781433105,0,65,,1,1,,,0,1,
f1_closure_dur_low_f0,0.0005053281784057617,0,65,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.00048679113388061523,0,65,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.001722574234008789,0,65,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.0004775524139404297,0,65,0,0,,1,0,1,,0
f1_closure_dur_low_f0,0.0005195140838623047,0,65,0,0,,1,0,1,,1
f1_closure_dur_low_f0,0.0009185671806335449,0,65,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.0024091601371765137,0,65,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0009675025939941406,0,65,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0009120702743530273,0,65,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0005375146865844727,0,65,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0007342100143432617,0,65,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.0006346702575683594,0,65,1,0,,1,1,1,,0
f0_voicing_dur,0.00017786026000976562,1,65,0,,1,,1,,0,
f0_voicing_dur,2.980232238769531e-07,0,65,0,,1,,0,,0,
f0_voicing_dur,0.00024169683456420898,0,65,0,,1,,1,,1,
f0_voicing_dur,0.00017452239990234375,0,65,1,,0,,0,,0,
f0_voicing_dur,0.00013267993927001953,0,65,1,,0,,1,,1,
f0_voicing_dur,0.00024127960205078125,1,65,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0002886056900024414,0,65,0,0,,0,1,0,,1
f0_closure_dur_low_f1,0.00047272443771362305,0,65,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.00023293495178222656,0,65,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00017142295837402344,0,65,1,0,,1,0,0,,1
f0_closure_dur_low_f1,0.0005375146865844727,0,65,1,0,,1,1,0,,0
f0_closure_dur_low_f1,0.0010216236114501953,0,65,0,0,,1,1,0,,0
f0_closure_dur_high_f1,0.0009860992431640625,0,65,0,1,,0,1,1,,1
f0_closure_dur_high_f1,0.0006021261215209961,0,65,0,1,,0,1,1,,0
f0_closure_dur_high_f1,0.002080857753753662,0,65,0,1,,0,0,1,,1
f0_closure_dur_high_f1,0.0009120702743530273,0,65,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0007189512252807617,0,65,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.002792656421661377,0,65,1,1,,0,0,1,,1
