Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_Closure,stim1_f0,stim2_voicing,stim2_F1,stim2_Closure,stim2_f0
f1_voicing_dur,0.0013878941535949707,0,42,0,0,,,0,1,,
f1_voicing_dur,0.001499474048614502,1,42,0,0,,,1,1,,
f1_voicing_dur,0.00012433528900146484,0,42,0,0,,,1,0,,
f1_voicing_dur,0.0002962350845336914,0,42,0,1,,,1,1,,
f1_voicing_dur,0.0016480088233947754,1,42,0,1,,,1,0,,
f1_voicing_dur,0.001548171043395996,0,42,1,1,,,1,0,,
f1_closure_dur_low_f0,0.00048547983169555664,0,42,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.00042569637298583984,0,42,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0012714862823486328,0,42,,0,0,0,,1,1,0
f1_closure_dur_low_f0,0.0004099607467651367,0,42,,0,1,0,,1,0,0
f1_closure_dur_low_f0,0.0003498196601867676,0,42,,0,1,0,,1,1,0
f1_closure_dur_low_f0,0.0006275177001953125,0,42,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0017628669738769531,0,42,,1,1,1,,0,0,1
f1_closure_dur_high_f0,0.0007759928703308105,0,42,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0005203485488891602,0,42,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.00038701295852661133,0,42,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0007420778274536133,0,42,,0,0,1,,1,0,1
f1_closure_dur_high_f0,0.0005200505256652832,0,42,,0,1,1,,1,0,1
f0_voicing_dur,0.0003024935722351074,1,42,1,,,0,0,,,1
f0_voicing_dur,3.5762786865234375e-07,0,42,1,,,0,0,,,0
f0_voicing_dur,0.0004417300224304199,0,42,1,,,0,1,,,1
f0_voicing_dur,0.000301361083984375,0,42,0,,,1,0,,,0
f0_voicing_dur,0.0003204345703125,0,42,0,,,1,1,,,1
f0_voicing_dur,0.00044226646423339844,1,42,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0003160834312438965,0,42,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.0003249645233154297,0,42,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0004571080207824707,0,42,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00033533573150634766,0,42,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.00038701295852661133,0,42,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0009405016899108887,0,42,,0,1,0,,0,0,1
f0_closure_dur_high_f1,0.000868678092956543,0,42,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.001008152961730957,0,42,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.001444399356842041,0,42,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.0005203485488891602,0,42,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.001036524772644043,0,42,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.002335965633392334,0,42,,1,0,1,,1,1,0
