Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_f0,stim1_voicing,stim1_F1,stim2_Closure,stim2_f0,stim2_voicing,stim2_F1
f1_voicing_dur,0.0007655024528503418,0,53,,,0,0,,,0,1
f1_voicing_dur,0.0008352994918823242,1,53,,,0,0,,,1,1
f1_voicing_dur,2.4199485778808594e-05,0,53,,,0,0,,,1,0
f1_voicing_dur,5.930662155151367e-05,0,53,,,0,1,,,1,1
f1_voicing_dur,0.000819861888885498,1,53,,,0,1,,,1,0
f1_voicing_dur,0.0008516311645507812,0,53,,,1,1,,,1,0
f1_closure_dur_low_f0,0.00024944543838500977,0,53,0,0,,0,1,0,,0
f1_closure_dur_low_f0,0.00033974647521972656,0,53,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0010274052619934082,0,53,0,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0002021193504333496,0,53,1,0,,0,0,0,,1
f1_closure_dur_low_f0,0.00034540891647338867,0,53,1,0,,0,1,0,,1
f1_closure_dur_low_f0,0.0004355311393737793,0,53,0,0,,1,1,0,,1
f1_closure_dur_high_f0,0.0014107227325439453,0,53,1,1,,1,0,1,,0
f1_closure_dur_high_f0,0.0005879402160644531,0,53,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0003978610038757324,0,53,1,1,,1,0,1,,1
f1_closure_dur_high_f0,0.0003084540367126465,0,53,0,1,,0,1,1,,0
f1_closure_dur_high_f0,0.00048363208770751953,0,53,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.000319063663482666,0,53,1,1,,0,0,1,,1
f0_voicing_dur,0.00014644861221313477,1,53,,0,1,,,1,0,
f0_voicing_dur,2.384185791015625e-07,0,53,,0,1,,,0,0,
f0_voicing_dur,0.00015991926193237305,0,53,,0,1,,,1,1,
f0_voicing_dur,0.0001450181007385254,0,53,,1,0,,,0,0,
f0_voicing_dur,9.185075759887695e-05,0,53,,1,0,,,1,1,
f0_voicing_dur,0.00015991926193237305,1,53,,0,0,,,1,1,
f0_closure_dur_low_f1,9.244680404663086e-05,0,53,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.00015532970428466797,0,53,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00021141767501831055,0,53,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.00010085105895996094,0,53,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.0003084540367126465,0,53,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0006005764007568359,0,53,1,0,,0,0,1,,0
f0_closure_dur_high_f1,0.00039780139923095703,0,53,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0003781914710998535,0,53,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.0007948875427246094,0,53,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.0003978610038757324,0,53,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.0003666877746582031,0,53,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0012593269348144531,0,53,0,1,,1,1,0,,1
