Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_Closure,stim1_F1,stim2_voicing,stim2_f0,stim2_Closure,stim2_F1
f1_voicing_dur,0.002444326877593994,0,17,0,,,0,0,,,1
f1_voicing_dur,0.002748847007751465,1,17,0,,,0,1,,,1
f1_voicing_dur,2.6404857635498047e-05,0,17,0,,,0,1,,,0
f1_voicing_dur,9.709596633911133e-05,0,17,0,,,1,1,,,1
f1_voicing_dur,0.0024547576904296875,1,17,0,,,1,1,,,0
f1_voicing_dur,0.0027152299880981445,0,17,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0010688304901123047,0,17,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0006706714630126953,0,17,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0034398436546325684,0,17,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0007257461547851562,0,17,,0,1,0,,0,0,1
f1_closure_dur_low_f0,0.0008816719055175781,0,17,,0,1,0,,0,1,1
f1_closure_dur_low_f0,0.0017830729484558105,0,17,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0042917728424072266,0,17,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0014266371726989746,0,17,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0017374157905578613,0,17,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0009862780570983887,0,17,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0010243058204650879,0,17,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0007077455520629883,0,17,,1,1,0,,1,0,1
f0_voicing_dur,0.00014084577560424805,1,17,1,0,,,0,1,,
f0_voicing_dur,5.960464477539062e-07,0,17,1,0,,,0,0,,
f0_voicing_dur,0.00014334917068481445,0,17,1,0,,,1,1,,
f0_voicing_dur,0.00013959407806396484,0,17,0,1,,,0,0,,
f0_voicing_dur,0.0001062154769897461,0,17,0,1,,,1,1,,
f0_voicing_dur,0.00014638900756835938,1,17,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0003331303596496582,0,17,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0006557703018188477,0,17,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.00037223100662231445,0,17,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00019365549087524414,0,17,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0009862780570983887,0,17,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0017745494842529297,0,17,,0,1,0,,1,0,0
f0_closure_dur_high_f1,0.0010006427764892578,0,17,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.0008077621459960938,0,17,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.0031105875968933105,0,17,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0017374157905578613,0,17,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0012725591659545898,0,17,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.005526244640350342,0,17,,1,0,1,,0,1,1
