Experiment,Distance,Diagonal?,Trial,stim1_F1,stim1_voicing,stim1_f0,stim1_Closure,stim2_F1,stim2_voicing,stim2_f0,stim2_Closure
f1_voicing_dur,0.002423524856567383,0,18,0,0,,,1,0,,
f1_voicing_dur,0.0025362372398376465,1,18,0,0,,,1,1,,
f1_voicing_dur,5.042552947998047e-05,0,18,0,0,,,0,1,,
f1_voicing_dur,0.00014317035675048828,0,18,1,0,,,1,1,,
f1_voicing_dur,0.0025243759155273438,1,18,1,0,,,0,1,,
f1_voicing_dur,0.002535998821258545,0,18,1,1,,,0,1,,
f1_closure_dur_low_f0,0.000817716121673584,0,18,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0008070468902587891,0,18,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.002877950668334961,0,18,0,,0,0,1,,0,1
f1_closure_dur_low_f0,0.0005856156349182129,0,18,0,,0,1,1,,0,0
f1_closure_dur_low_f0,0.000751793384552002,0,18,0,,0,1,1,,0,1
f1_closure_dur_low_f0,0.0013914108276367188,0,18,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.0036953091621398926,0,18,1,,1,1,0,,1,0
f1_closure_dur_high_f0,0.0015284419059753418,0,18,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.001459658145904541,0,18,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.000774085521697998,0,18,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.0011074542999267578,0,18,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.0009758472442626953,0,18,0,,1,1,1,,1,0
f0_voicing_dur,0.00017577409744262695,1,18,,1,0,,,0,1,
f0_voicing_dur,5.364418029785156e-07,0,18,,1,0,,,0,0,
f0_voicing_dur,0.0003026127815246582,0,18,,1,0,,,1,1,
f0_voicing_dur,0.0001761913299560547,0,18,,0,1,,,0,0,
f0_voicing_dur,0.00016605854034423828,0,18,,0,1,,,1,1,
f0_voicing_dur,0.00030750036239624023,1,18,,0,0,,,1,1,
f0_closure_dur_low_f1,0.00034677982330322266,0,18,0,,0,0,0,,1,1
f0_closure_dur_low_f1,0.0004897117614746094,0,18,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00035327672958374023,0,18,0,,0,0,0,,1,0
f0_closure_dur_low_f1,0.00018131732940673828,0,18,0,,1,1,0,,0,1
f0_closure_dur_low_f1,0.000774085521697998,0,18,0,,1,1,0,,1,0
f0_closure_dur_low_f1,0.0012881755828857422,0,18,0,,0,1,0,,1,0
f0_closure_dur_high_f1,0.0011788606643676758,0,18,1,,0,0,1,,1,1
f0_closure_dur_high_f1,0.0011119842529296875,0,18,1,,0,0,1,,1,0
f0_closure_dur_high_f1,0.0028159618377685547,0,18,1,,0,0,1,,0,1
f0_closure_dur_high_f1,0.001459658145904541,0,18,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.0014157295227050781,0,18,1,,1,1,1,,0,1
f0_closure_dur_high_f1,0.005050599575042725,0,18,1,,1,0,1,,0,1
