Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_voicing,stim1_F1,stim1_f0,stim2_Closure,stim2_voicing,stim2_F1,stim2_f0
f1_voicing_dur,0.0021206140518188477,0,44,,0,0,,,0,1,
f1_voicing_dur,0.0023494958877563477,1,44,,0,0,,,1,1,
f1_voicing_dur,2.950429916381836e-05,0,44,,0,0,,,1,0,
f1_voicing_dur,7.921457290649414e-05,0,44,,0,1,,,1,1,
f1_voicing_dur,0.002247452735900879,1,44,,0,1,,,1,0,
f1_voicing_dur,0.002437412738800049,0,44,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0008775591850280762,0,44,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.0006459355354309082,0,44,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0031636953353881836,0,44,0,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0007233023643493652,0,44,1,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0010529756546020508,0,44,1,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0016277432441711426,0,44,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.0041925907135009766,0,44,1,,1,1,0,,0,1
f1_closure_dur_high_f0,0.0014296770095825195,0,44,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0010731816291809082,0,44,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0011802315711975098,0,44,0,,0,1,1,,0,1
f1_closure_dur_high_f0,0.0014757513999938965,0,44,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.0008248090744018555,0,44,1,,0,1,0,,1,1
f0_voicing_dur,0.0003186464309692383,1,44,,1,,0,,0,,1
f0_voicing_dur,2.980232238769531e-07,0,44,,1,,0,,0,,0
f0_voicing_dur,0.0003700852394104004,0,44,,1,,0,,1,,1
f0_voicing_dur,0.000314176082611084,0,44,,0,,1,,0,,0
f0_voicing_dur,0.00010728836059570312,0,44,,0,,1,,1,,1
f0_voicing_dur,0.0003669857978820801,1,44,,0,,0,,1,,1
f0_closure_dur_low_f1,0.00034487247467041016,0,44,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.0005655288696289062,0,44,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.0004989504814147949,0,44,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00017154216766357422,0,44,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0011802315711975098,0,44,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0018594861030578613,0,44,1,,0,0,0,,0,1
f0_closure_dur_high_f1,0.0006873011589050293,0,44,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.0005788803100585938,0,44,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.003142118453979492,0,44,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.0010731816291809082,0,44,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.0017266273498535156,0,44,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.0050484538078308105,0,44,0,,1,1,1,,1,0
