Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_f0,stim1_Closure,stim2_voicing,stim2_F1,stim2_f0,stim2_Closure
f1_voicing_dur,0.002978503704071045,0,6,0,0,,,0,1,,
f1_voicing_dur,0.003384411334991455,1,6,0,0,,,1,1,,
f1_voicing_dur,7.95125961303711e-05,0,6,0,0,,,1,0,,
f1_voicing_dur,0.0002027750015258789,0,6,0,1,,,1,1,,
f1_voicing_dur,0.003240823745727539,1,6,0,1,,,1,0,,
f1_voicing_dur,0.0035266876220703125,0,6,1,1,,,1,0,,
f1_closure_dur_low_f0,0.0008664727210998535,0,6,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0012610554695129395,0,6,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.0032477378845214844,0,6,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0008486509323120117,0,6,,0,0,1,,1,0,0
f1_closure_dur_low_f0,0.0010489821434020996,0,6,,0,0,1,,1,0,1
f1_closure_dur_low_f0,0.0015850663185119629,0,6,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0035245418548583984,0,6,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0015843510627746582,0,6,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.001189589500427246,0,6,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0010149478912353516,0,6,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.001499950885772705,0,6,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.0016431808471679688,0,6,,0,1,1,,1,1,0
f0_voicing_dur,0.0003001689910888672,1,6,1,,0,,0,,1,
f0_voicing_dur,8.344650268554688e-07,0,6,1,,0,,0,,0,
f0_voicing_dur,0.0005513429641723633,0,6,1,,0,,1,,1,
f0_voicing_dur,0.0003008842468261719,0,6,0,,1,,0,,0,
f0_voicing_dur,0.0002530813217163086,0,6,0,,1,,1,,1,
f0_voicing_dur,0.0005672574043273926,1,6,0,,0,,1,,1,
f0_closure_dur_low_f1,0.000613868236541748,0,6,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.0008543133735656738,0,6,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.0003185868263244629,0,6,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0001971125602722168,0,6,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0010149478912353516,0,6,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.0016427040100097656,0,6,,0,0,1,,0,1,0
f0_closure_dur_high_f1,0.0022326111793518066,0,6,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.001291811466217041,0,6,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.003812730312347412,0,6,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.001189589500427246,0,6,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0015963315963745117,0,6,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.004592597484588623,0,6,,1,1,0,,1,0,1
