Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_voicing,stim1_F1,stim1_f0,stim2_Closure,stim2_voicing,stim2_F1,stim2_f0
f1_voicing_dur,0.002416849136352539,0,12,,0,0,,,0,1,
f1_voicing_dur,0.0026639699935913086,1,12,,0,0,,,1,1,
f1_voicing_dur,3.504753112792969e-05,0,12,,0,0,,,1,0,
f1_voicing_dur,8.314847946166992e-05,0,12,,0,1,,,1,1,
f1_voicing_dur,0.0023785829544067383,1,12,,0,1,,,1,0,
f1_voicing_dur,0.0025794506072998047,0,12,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0007517337799072266,0,12,0,,0,0,1,,0,0
f1_closure_dur_low_f0,0.0005218982696533203,0,12,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.00273209810256958,0,12,0,,0,0,1,,1,0
f1_closure_dur_low_f0,0.00036829710006713867,0,12,1,,0,0,0,,1,0
f1_closure_dur_low_f0,0.0007033944129943848,0,12,1,,0,0,1,,1,0
f1_closure_dur_low_f0,0.0013166069984436035,0,12,0,,1,0,1,,1,0
f1_closure_dur_high_f0,0.0032393336296081543,0,12,1,,1,1,0,,0,1
f1_closure_dur_high_f0,0.0010339021682739258,0,12,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0010528564453125,0,12,1,,1,1,0,,1,1
f1_closure_dur_high_f0,0.0008001327514648438,0,12,0,,0,1,1,,0,1
f1_closure_dur_high_f0,0.0009044408798217773,0,12,0,,0,1,0,,1,1
f1_closure_dur_high_f0,0.00044912099838256836,0,12,1,,0,1,0,,1,1
f0_voicing_dur,0.00015604496002197266,1,12,,1,,0,,0,,1
f0_voicing_dur,2.980232238769531e-07,0,12,,1,,0,,0,,0
f0_voicing_dur,0.00018167495727539062,0,12,,1,,0,,1,,1
f0_voicing_dur,0.000156402587890625,0,12,,0,,1,,0,,0
f0_voicing_dur,0.00011777877807617188,0,12,,0,,1,,1,,1
f0_voicing_dur,0.00018405914306640625,1,12,,0,,0,,1,,1
f0_closure_dur_low_f1,0.0002384185791015625,0,12,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.00046002864837646484,0,12,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.00038820505142211914,0,12,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.0001595020294189453,0,12,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0008001327514648438,0,12,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0014197230339050293,0,12,1,,0,0,0,,0,1
f0_closure_dur_high_f1,0.000793755054473877,0,12,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.000840604305267334,0,12,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.0025308728218078613,0,12,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.0010528564453125,0,12,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.0012284517288208008,0,12,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.004243612289428711,0,12,0,,1,1,1,,1,0
