Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_F1,stim1_voicing,stim1_Closure,stim2_f0,stim2_F1,stim2_voicing,stim2_Closure
f1_voicing_dur,0.0038468241691589355,0,54,,0,0,,,1,0,
f1_voicing_dur,0.003858208656311035,1,54,,0,0,,,1,1,
f1_voicing_dur,0.0001252889633178711,0,54,,0,0,,,0,1,
f1_voicing_dur,0.0001938343048095703,0,54,,1,0,,,1,1,
f1_voicing_dur,0.004118621349334717,1,54,,1,0,,,0,1,
f1_voicing_dur,0.003946065902709961,0,54,,1,1,,,0,1,
f1_closure_dur_low_f0,0.0012523531913757324,0,54,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0010662674903869629,0,54,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.004498898983001709,0,54,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.0009289979934692383,0,54,0,0,,1,0,1,,0
f1_closure_dur_low_f0,0.0013518333435058594,0,54,0,0,,1,0,1,,1
f1_closure_dur_low_f0,0.002202332019805908,0,54,0,1,,0,0,1,,1
f1_closure_dur_high_f0,0.005764305591583252,0,54,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0020284056663513184,0,54,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.002125263214111328,0,54,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0014448761940002441,0,54,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.001576542854309082,0,54,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.0012053251266479492,0,54,1,0,,1,1,1,,0
f0_voicing_dur,0.0002829432487487793,1,54,0,,1,,1,,0,
f0_voicing_dur,4.172325134277344e-07,0,54,0,,1,,0,,0,
f0_voicing_dur,0.00041788816452026367,0,54,0,,1,,1,,1,
f0_voicing_dur,0.0002842545509338379,0,54,1,,0,,0,,0,
f0_voicing_dur,0.00029921531677246094,0,54,1,,0,,1,,1,
f0_voicing_dur,0.00042301416397094727,1,54,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0006145834922790527,0,54,0,0,,0,1,0,,1
f0_closure_dur_low_f1,0.0010469555854797363,0,54,0,0,,0,0,0,,1
f0_closure_dur_low_f1,0.0005071759223937988,0,54,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.0003088712692260742,0,54,1,0,,1,0,0,,1
f0_closure_dur_low_f1,0.0014448761940002441,0,54,1,0,,1,1,0,,0
f0_closure_dur_low_f1,0.002540767192840576,0,54,0,0,,1,1,0,,0
f0_closure_dur_high_f1,0.0020911693572998047,0,54,0,1,,0,1,1,,1
f0_closure_dur_high_f1,0.001123189926147461,0,54,0,1,,0,1,1,,0
f0_closure_dur_high_f1,0.004908323287963867,0,54,0,1,,0,0,1,,1
f0_closure_dur_high_f1,0.002125263214111328,0,54,1,1,,1,1,1,,0
f0_closure_dur_high_f1,0.0016332268714904785,0,54,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.00662541389465332,0,54,1,1,,0,0,1,,1
