Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_F1,stim1_Closure,stim2_voicing,stim2_f0,stim2_F1,stim2_Closure
f1_voicing_dur,0.0014466643333435059,0,8,0,,0,,0,,1,
f1_voicing_dur,0.0014955401420593262,1,8,0,,0,,1,,1,
f1_voicing_dur,2.7179718017578125e-05,0,8,0,,0,,1,,0,
f1_voicing_dur,3.063678741455078e-05,0,8,0,,1,,1,,1,
f1_voicing_dur,0.0015494227409362793,1,8,0,,1,,1,,0,
f1_voicing_dur,0.0015736818313598633,0,8,1,,1,,1,,0,
f1_closure_dur_low_f0,0.0006425976753234863,0,8,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.00045859813690185547,0,8,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0022022128105163574,0,8,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0006297826766967773,0,8,,0,0,1,,0,1,0
f1_closure_dur_low_f0,0.000655829906463623,0,8,,0,0,1,,0,1,1
f1_closure_dur_low_f0,0.0012638568878173828,0,8,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.002893507480621338,0,8,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.001061081886291504,0,8,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0010762810707092285,0,8,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0006201267242431641,0,8,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0008050799369812012,0,8,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0005607008934020996,0,8,,1,0,1,,1,1,0
f0_voicing_dur,8.553266525268555e-05,1,8,1,0,,,0,1,,
f0_voicing_dur,2.384185791015625e-07,0,8,1,0,,,0,0,,
f0_voicing_dur,0.0001055598258972168,0,8,1,0,,,1,1,,
f0_voicing_dur,8.177757263183594e-05,0,8,0,1,,,0,0,,
f0_voicing_dur,6.341934204101562e-05,0,8,0,1,,,1,1,,
f0_voicing_dur,0.0001043081283569336,1,8,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0002396106719970703,0,8,,0,0,0,,1,0,1
f0_closure_dur_low_f1,0.000530540943145752,0,8,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00018513202667236328,0,8,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00013786554336547852,0,8,,1,0,1,,0,0,1
f0_closure_dur_low_f1,0.0006201267242431641,0,8,,1,0,1,,1,0,0
f0_closure_dur_low_f1,0.0011797547340393066,0,8,,0,0,1,,1,0,0
f0_closure_dur_high_f1,0.0010083913803100586,0,8,,0,1,0,,1,1,1
f0_closure_dur_high_f1,0.00037801265716552734,0,8,,0,1,0,,1,1,0
f0_closure_dur_high_f1,0.0028793811798095703,0,8,,0,1,0,,0,1,1
f0_closure_dur_high_f1,0.0010762810707092285,0,8,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0009264945983886719,0,8,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0037367939949035645,0,8,,1,1,0,,0,1,1
