Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_F1,stim1_f0,stim1_voicing,stim2_Closure,stim2_F1,stim2_f0,stim2_voicing
f1_voicing_dur,0.001746833324432373,0,22,,0,,0,,1,,0
f1_voicing_dur,0.0017801523208618164,1,22,,0,,0,,1,,1
f1_voicing_dur,3.898143768310547e-05,0,22,,0,,0,,0,,1
f1_voicing_dur,8.004903793334961e-05,0,22,,1,,0,,1,,1
f1_voicing_dur,0.0018306374549865723,1,22,,1,,0,,0,,1
f1_voicing_dur,0.0018092989921569824,0,22,,1,,1,,0,,1
f1_closure_dur_low_f0,0.0006198287010192871,0,22,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.000431060791015625,0,22,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.002073347568511963,0,22,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0003885626792907715,0,22,1,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0005327463150024414,0,22,1,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0010145902633666992,0,22,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.002902805805206299,0,22,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.001068413257598877,0,22,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.000799715518951416,0,22,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0006042122840881348,0,22,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.0009317994117736816,0,22,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.00041371583938598633,0,22,1,0,1,,0,1,1,
f0_voicing_dur,0.00019890069961547852,1,22,,,0,1,,,1,0
f0_voicing_dur,2.384185791015625e-07,0,22,,,0,1,,,0,0
f0_voicing_dur,0.0001925826072692871,0,22,,,0,1,,,1,1
f0_voicing_dur,0.00019484758377075195,0,22,,,1,0,,,0,0
f0_voicing_dur,9.47117805480957e-05,0,22,,,1,0,,,1,1
f0_voicing_dur,0.00018918514251708984,1,22,,,0,0,,,1,1
f0_closure_dur_low_f1,0.0002352595329284668,0,22,0,0,0,,1,0,1,
f0_closure_dur_low_f1,0.0004457235336303711,0,22,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0002155303955078125,0,22,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.00014472007751464844,0,22,1,0,1,,1,0,0,
f0_closure_dur_low_f1,0.0006042122840881348,0,22,1,0,1,,0,0,1,
f0_closure_dur_low_f1,0.001078486442565918,0,22,1,0,0,,0,0,1,
f0_closure_dur_high_f1,0.0006407499313354492,0,22,0,1,0,,1,1,1,
f0_closure_dur_high_f1,0.00042253732681274414,0,22,0,1,0,,0,1,1,
f0_closure_dur_high_f1,0.002053499221801758,0,22,0,1,0,,1,1,0,
f0_closure_dur_high_f1,0.000799715518951416,0,22,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0009159445762634277,0,22,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.003133416175842285,0,22,0,1,1,,1,1,0,
