f1_voicing_dur,4.082918167114258e-05,0,2,,,0,0,,,,1,0,
f1_voicing_dur,0.0022603869438171387,0,2,,,1,0,,,,1,0,
f1_closure_dur_low_f0,0.0007108449935913086,0,2,,0,0,,0,,0,0,,1
f1_closure_dur_low_f0,0.0008770227432250977,0,2,,0,0,,0,,0,1,,0
f1_closure_dur_low_f0,0.0024315714836120605,0,2,,0,0,,0,,0,1,,1
f1_closure_dur_low_f0,0.0006003975868225098,0,2,,0,0,,1,,0,1,,0
f1_closure_dur_low_f0,0.0006434917449951172,0,2,,0,0,,1,,0,1,,1
f1_closure_dur_low_f0,0.0011110901832580566,0,2,,0,1,,0,,0,1,,1
f1_closure_dur_high_f0,0.002805471420288086,0,2,,1,1,,1,,1,0,,0
f1_closure_dur_high_f0,0.0013770461082458496,0,2,,1,1,,1,,1,0,,1
f1_closure_dur_high_f0,0.0012074112892150879,0,2,,1,1,,1,,1,1,,0
f1_closure_dur_high_f0,0.0006051063537597656,0,2,,1,0,,0,,1,0,,1
f1_closure_dur_high_f0,0.0010927319526672363,0,2,,1,0,,0,,1,1,,0
f1_closure_dur_high_f0,0.0012992620468139648,0,2,,1,0,,1,,1,1,,0
f0_voicing_dur,0.00015240907669067383,1,2,1,0,,,,0,1,,,
f0_voicing_dur,1.7881393432617188e-07,0,2,1,0,,,,0,0,,,
f0_voicing_dur,0.0003968477249145508,0,2,1,0,,,,1,1,,,
f0_voicing_dur,0.00015342235565185547,0,2,0,1,,,,0,0,,,
f0_voicing_dur,0.0002200603485107422,0,2,0,1,,,,1,1,,,
f0_voicing_dur,0.0004048347473144531,1,2,0,0,,,,1,1,,,
f0_closure_dur_low_f1,0.00035393238067626953,0,2,,0,0,,0,,1,0,,1
f0_closure_dur_low_f1,0.0006060004234313965,0,2,,0,0,,0,,0,0,,1
f0_closure_dur_low_f1,0.00022369623184204102,0,2,,0,0,,0,,1,1,,0
f0_closure_dur_low_f1,0.0001907944679260254,0,2,,1,0,,1,,0,0,,1
f0_closure_dur_low_f1,0.0006051063537597656,0,2,,1,0,,1,,1,1,,0
f0_closure_dur_low_f1,0.0011870861053466797,1,2,,0,0,,1,,1,1,,0
f0_closure_dur_high_f1,0.001315295696258545,1,2,,0,1,,0,,1,0,,1
f0_closure_dur_high_f1,0.0008665323257446289,0,2,,0,1,,0,,1,1,,0
f0_closure_dur_high_f1,0.0025676488876342773,0,2,,0,1,,0,,0,1,,1
f0_closure_dur_high_f1,0.0012074112892150879,0,2,,1,0,,1,,1,1,,0
f0_closure_dur_high_f1,0.0010562539100646973,0,2,,1,0,,1,,0,1,,1
f0_closure_dur_high_f1,0.003836989402770996,0,2,,1,1,,0,,0,1,,1
