Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_Closure,stim1_F1,stim2_voicing,stim2_f0,stim2_Closure,stim2_F1
f1_voicing_dur,0.004484295845031738,0,62,0,,,0,0,,,1
f1_voicing_dur,0.0045890212059021,1,62,0,,,0,1,,,1
f1_voicing_dur,5.894899368286133e-05,0,62,0,,,0,1,,,0
f1_voicing_dur,0.00014913082122802734,0,62,0,,,1,1,,,1
f1_voicing_dur,0.004364669322967529,1,62,0,,,1,1,,,0
f1_voicing_dur,0.004374444484710693,0,62,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0009911656379699707,0,62,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.001455843448638916,0,62,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0033818483352661133,0,62,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.0009030699729919434,0,62,,0,1,0,,0,0,1
f1_closure_dur_low_f0,0.0008522868156433105,0,62,,0,1,0,,0,1,1
f1_closure_dur_low_f0,0.0015691518783569336,0,62,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.004771530628204346,0,62,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0025121569633483887,0,62,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0016779303550720215,0,62,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0010744333267211914,0,62,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.0020309090614318848,0,62,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0023151636123657227,0,62,,1,1,0,,1,0,1
f0_voicing_dur,0.0001608133316040039,1,62,1,0,,,0,1,,
f0_voicing_dur,6.556510925292969e-07,0,62,1,0,,,0,0,,
f0_voicing_dur,0.000628054141998291,0,62,1,0,,,1,1,,
f0_voicing_dur,0.0001678466796875,0,62,0,1,,,0,0,,
f0_voicing_dur,0.0003654956817626953,0,62,0,1,,,1,1,,
f0_voicing_dur,0.0006453394889831543,1,62,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0005530118942260742,0,62,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0007958412170410156,0,62,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0005245804786682129,0,62,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00037544965744018555,0,62,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0010744333267211914,0,62,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0020530223846435547,0,62,,0,1,0,,1,0,0
f0_closure_dur_high_f1,0.0029605627059936523,0,62,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.002010524272918701,0,62,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.004622995853424072,0,62,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0016779303550720215,0,62,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0018979907035827637,0,62,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.0058806538581848145,0,62,,1,0,1,,0,1,1
