Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_F1,stim1_f0,stim1_Closure,stim2_voicing,stim2_F1,stim2_f0,stim2_Closure
f1_voicing_dur,0.0028120875358581543,0,69,0,0,,,0,1,,
f1_voicing_dur,0.0028486251831054688,1,69,0,0,,,1,1,,
f1_voicing_dur,4.363059997558594e-05,0,69,0,0,,,1,0,,
f1_voicing_dur,7.343292236328125e-05,0,69,0,1,,,1,1,,
f1_voicing_dur,0.002865016460418701,1,69,0,1,,,1,0,,
f1_voicing_dur,0.0028589367866516113,0,69,1,1,,,1,0,,
f1_closure_dur_low_f0,0.0008125901222229004,0,69,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.0007572770118713379,0,69,,0,0,0,,1,0,0
f1_closure_dur_low_f0,0.002600431442260742,0,69,,0,0,0,,1,0,1
f1_closure_dur_low_f0,0.0005832910537719727,0,69,,0,0,1,,1,0,0
f1_closure_dur_low_f0,0.0006650090217590332,0,69,,0,0,1,,1,0,1
f1_closure_dur_low_f0,0.0013104677200317383,0,69,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0033140182495117188,0,69,,1,1,1,,0,1,0
f1_closure_dur_high_f0,0.0013056397438049316,0,69,,1,1,1,,0,1,1
f1_closure_dur_high_f0,0.0011921525001525879,0,69,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0007988214492797852,0,69,,0,1,0,,0,1,1
f1_closure_dur_high_f0,0.001032710075378418,0,69,,0,1,0,,1,1,0
f1_closure_dur_high_f0,0.0008782148361206055,0,69,,0,1,1,,1,1,0
f0_voicing_dur,0.00021028518676757812,1,69,1,,0,,0,,1,
f0_voicing_dur,4.172325134277344e-07,0,69,1,,0,,0,,0,
f0_voicing_dur,0.00040262937545776367,0,69,1,,0,,1,,1,
f0_voicing_dur,0.0002021193504333496,0,69,0,,1,,0,,0,
f0_voicing_dur,0.00015938282012939453,0,69,0,,1,,1,,1,
f0_voicing_dur,0.00039756298065185547,1,69,0,,0,,1,,1,
f0_closure_dur_low_f1,0.00041610002517700195,0,69,,0,0,0,,0,1,1
f0_closure_dur_low_f1,0.000721275806427002,0,69,,0,0,0,,0,0,1
f0_closure_dur_low_f1,0.00029587745666503906,0,69,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0002461075782775879,0,69,,0,1,1,,0,0,1
f0_closure_dur_low_f1,0.0007988214492797852,0,69,,0,1,1,,0,1,0
f0_closure_dur_low_f1,0.0015732049942016602,0,69,,0,0,1,,0,1,0
f0_closure_dur_high_f1,0.0013085007667541504,0,69,,1,0,0,,1,1,1
f0_closure_dur_high_f1,0.0009116530418395996,0,69,,1,0,0,,1,1,0
f0_closure_dur_high_f1,0.0033059120178222656,0,69,,1,0,0,,1,0,1
f0_closure_dur_high_f1,0.0011921525001525879,0,69,,1,1,1,,1,1,0
f0_closure_dur_high_f1,0.0013068914413452148,0,69,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.004429936408996582,0,69,,1,1,0,,1,0,1
