Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_F1,stim1_f0,stim1_voicing,stim2_Closure,stim2_F1,stim2_f0,stim2_voicing
f1_voicing_dur,0.002115309238433838,0,57,,0,,0,,1,,0
f1_voicing_dur,0.0023178458213806152,1,57,,0,,0,,1,,1
f1_voicing_dur,5.429983139038086e-05,0,57,,0,,0,,0,,1
f1_voicing_dur,0.0001576542854309082,0,57,,1,,0,,1,,1
f1_voicing_dur,0.0023525357246398926,1,57,,1,,0,,0,,1
f1_voicing_dur,0.0024659037590026855,0,57,,1,,1,,0,,1
f1_closure_dur_low_f0,0.000656425952911377,0,57,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.0009126663208007812,0,57,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.002604186534881592,0,57,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.00046622753143310547,0,57,1,0,0,,0,1,0,
f1_closure_dur_low_f0,0.000799715518951416,0,57,1,0,0,,1,1,0,
f1_closure_dur_low_f0,0.000931084156036377,0,57,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.0030788183212280273,0,57,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.0013818144798278809,0,57,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0009059906005859375,0,57,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0005624294281005859,0,57,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.0011586546897888184,0,57,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0007929801940917969,0,57,1,0,1,,0,1,1,
f0_voicing_dur,0.0001653432846069336,1,57,,,0,1,,,1,0
f0_voicing_dur,4.172325134277344e-07,0,57,,,0,1,,,0,0
f0_voicing_dur,0.0003198981285095215,0,57,,,0,1,,,1,1
f0_voicing_dur,0.0001639723777770996,0,57,,,1,0,,,0,0
f0_voicing_dur,0.00018095970153808594,0,57,,,1,0,,,1,1
f0_voicing_dur,0.0003217458724975586,1,57,,,0,0,,,1,1
f0_closure_dur_low_f1,0.00025844573974609375,0,57,0,0,0,,1,0,1,
f0_closure_dur_low_f1,0.00045692920684814453,0,57,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0003286004066467285,0,57,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.0002148747444152832,0,57,1,0,1,,1,0,0,
f0_closure_dur_low_f1,0.0005624294281005859,0,57,1,0,1,,0,0,1,
f0_closure_dur_low_f1,0.0011580586433410645,0,57,1,0,0,,0,0,1,
f0_closure_dur_high_f1,0.0009912848472595215,0,57,0,1,0,,1,1,1,
f0_closure_dur_high_f1,0.001143813133239746,0,57,0,1,0,,0,1,1,
f0_closure_dur_high_f1,0.0022177696228027344,0,57,0,1,0,,1,1,0,
f0_closure_dur_high_f1,0.0009059906005859375,0,57,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0014666914939880371,0,57,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.004072248935699463,0,57,0,1,1,,1,1,0,
