Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_voicing,stim1_F1,stim2_f0,stim2_Closure,stim2_voicing,stim2_F1
f1_voicing_dur,0.002744019031524658,0,5,,,0,0,,,0,1
f1_voicing_dur,0.0027562975883483887,1,5,,,0,0,,,1,1
f1_voicing_dur,3.063678741455078e-05,0,5,,,0,0,,,1,0
f1_voicing_dur,7.253885269165039e-05,0,5,,,0,1,,,1,1
f1_voicing_dur,0.002909541130065918,1,5,,,0,1,,,1,0
f1_voicing_dur,0.0028570890426635742,0,5,,,1,1,,,1,0
f1_closure_dur_low_f0,0.0011321306228637695,0,5,0,0,,0,0,1,,0
f1_closure_dur_low_f0,0.0009467601776123047,0,5,0,0,,0,0,0,,1
f1_closure_dur_low_f0,0.0042070746421813965,0,5,0,0,,0,0,1,,1
f1_closure_dur_low_f0,0.0006551742553710938,0,5,0,1,,0,0,0,,1
f1_closure_dur_low_f0,0.001144707202911377,0,5,0,1,,0,0,1,,1
f1_closure_dur_low_f0,0.002073347568511963,0,5,0,0,,1,0,1,,1
f1_closure_dur_high_f0,0.004792451858520508,0,5,1,1,,1,1,0,,0
f1_closure_dur_high_f0,0.0015578866004943848,0,5,1,1,,1,1,1,,0
f1_closure_dur_high_f0,0.0019677281379699707,0,5,1,1,,1,1,0,,1
f1_closure_dur_high_f0,0.0012740492820739746,0,5,1,0,,0,1,1,,0
f1_closure_dur_high_f0,0.0011845827102661133,0,5,1,0,,0,1,0,,1
f1_closure_dur_high_f0,0.0010294318199157715,0,5,1,1,,0,1,0,,1
f0_voicing_dur,0.00016230344772338867,1,5,0,,1,,1,,0,
f0_voicing_dur,3.5762786865234375e-07,0,5,0,,1,,0,,0,
f0_voicing_dur,0.00032132863998413086,0,5,0,,1,,1,,1,
f0_voicing_dur,0.00016516447067260742,0,5,1,,0,,0,,0,
f0_voicing_dur,0.00017315149307250977,0,5,1,,0,,1,,1,
f0_voicing_dur,0.00032633543014526367,1,5,0,,0,,1,,1,
f0_closure_dur_low_f1,0.0005382299423217773,0,5,0,0,,0,1,1,,0
f0_closure_dur_low_f1,0.0009546279907226562,0,5,0,0,,0,0,1,,0
f0_closure_dur_low_f1,0.0003498196601867676,0,5,0,0,,0,1,0,,0
f0_closure_dur_low_f1,0.00021755695343017578,0,5,1,1,,0,0,1,,0
f0_closure_dur_low_f1,0.0012740492820739746,0,5,1,1,,0,1,0,,0
f0_closure_dur_low_f1,0.002160787582397461,0,5,0,1,,0,1,0,,0
f0_closure_dur_high_f1,0.0018936395645141602,0,5,0,0,,1,1,1,,1
f0_closure_dur_high_f1,0.0008063316345214844,0,5,0,0,,1,1,0,,1
f0_closure_dur_high_f1,0.004738330841064453,0,5,0,0,,1,0,1,,1
f0_closure_dur_high_f1,0.0019677281379699707,0,5,1,1,,1,1,0,,1
f0_closure_dur_high_f1,0.0015731453895568848,0,5,1,1,,1,0,1,,1
f0_closure_dur_high_f1,0.006372272968292236,0,5,1,0,,1,0,1,,1
