Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_Closure,stim1_F1,stim1_voicing,stim2_f0,stim2_Closure,stim2_F1,stim2_voicing
f1_voicing_dur,0.003258824348449707,0,27,,,0,0,,,1,0
f1_voicing_dur,0.003413975238800049,1,27,,,0,0,,,1,1
f1_voicing_dur,5.91278076171875e-05,0,27,,,0,0,,,0,1
f1_voicing_dur,0.00017940998077392578,0,27,,,1,0,,,1,1
f1_voicing_dur,0.003284275531768799,1,27,,,1,0,,,0,1
f1_voicing_dur,0.0033121109008789062,0,27,,,1,1,,,0,1
f1_closure_dur_low_f0,0.0009969472885131836,0,27,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0011019110679626465,0,27,0,0,0,,0,0,1,
f1_closure_dur_low_f0,0.003310680389404297,0,27,0,0,0,,0,1,1,
f1_closure_dur_low_f0,0.0010103583335876465,0,27,0,1,0,,0,0,1,
f1_closure_dur_low_f0,0.0009052157402038574,0,27,0,1,0,,0,1,1,
f1_closure_dur_low_f0,0.001854538917541504,0,27,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0043593645095825195,0,27,1,1,1,,1,0,0,
f1_closure_dur_high_f0,0.0018146038055419922,0,27,1,1,1,,1,1,0,
f1_closure_dur_high_f0,0.0018818974494934082,0,27,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.0011640191078186035,0,27,1,0,0,,1,1,0,
f1_closure_dur_high_f0,0.0014461874961853027,0,27,1,0,0,,1,0,1,
f1_closure_dur_high_f0,0.0017380118370056152,0,27,1,1,0,,1,0,1,
f0_voicing_dur,0.00016641616821289062,1,27,0,,,1,1,,,0
f0_voicing_dur,6.556510925292969e-07,0,27,0,,,1,0,,,0
f0_voicing_dur,0.0003122091293334961,0,27,0,,,1,1,,,1
f0_voicing_dur,0.00016492605209350586,0,27,1,,,0,0,,,0
f0_voicing_dur,0.0002563595771789551,0,27,1,,,0,1,,,1
f0_voicing_dur,0.0003170967102050781,1,27,0,,,0,1,,,1
f0_closure_dur_low_f1,0.0005616545677185059,0,27,0,0,0,,1,1,0,
f0_closure_dur_low_f1,0.0008162260055541992,0,27,0,0,0,,0,1,0,
f0_closure_dur_low_f1,0.0004490017890930176,0,27,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.00024276971817016602,0,27,1,1,0,,0,1,0,
f0_closure_dur_low_f1,0.0011640191078186035,0,27,1,1,0,,1,0,0,
f0_closure_dur_low_f1,0.001905202865600586,0,27,0,1,0,,1,0,0,
f0_closure_dur_high_f1,0.0024816393852233887,0,27,0,0,1,,1,1,1,
f0_closure_dur_high_f1,0.0014383196830749512,0,27,0,0,1,,1,0,1,
f0_closure_dur_high_f1,0.004252314567565918,0,27,0,0,1,,0,1,1,
f0_closure_dur_high_f1,0.0018818974494934082,0,27,1,1,1,,1,0,1,
f0_closure_dur_high_f1,0.0016556978225708008,0,27,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.005819261074066162,0,27,1,0,1,,0,1,1,
