Experiment,Distance,Diagonal?,Trial,stim1_voicing,stim1_f0,stim1_Closure,stim1_F1,stim2_voicing,stim2_f0,stim2_Closure,stim2_F1
f1_voicing_dur,0.0021062493324279785,0,29,0,,,0,0,,,1
f1_voicing_dur,0.002286374568939209,1,29,0,,,0,1,,,1
f1_voicing_dur,1.5437602996826172e-05,0,29,0,,,0,1,,,0
f1_voicing_dur,4.2378902435302734e-05,0,29,0,,,1,1,,,1
f1_voicing_dur,0.0021506547927856445,1,29,0,,,1,1,,,0
f1_voicing_dur,0.0023084282875061035,0,29,1,,,1,1,,,0
f1_closure_dur_low_f0,0.0007084012031555176,0,29,,0,0,0,,0,1,0
f1_closure_dur_low_f0,0.0005364418029785156,0,29,,0,0,0,,0,0,1
f1_closure_dur_low_f0,0.002724170684814453,0,29,,0,0,0,,0,1,1
f1_closure_dur_low_f0,0.00038123130798339844,0,29,,0,1,0,,0,0,1
f1_closure_dur_low_f0,0.000773012638092041,0,29,,0,1,0,,0,1,1
f1_closure_dur_low_f0,0.001252591609954834,0,29,,0,0,1,,0,1,1
f1_closure_dur_high_f0,0.0035596489906311035,0,29,,1,1,1,,1,0,0
f1_closure_dur_high_f0,0.0011616945266723633,0,29,,1,1,1,,1,1,0
f1_closure_dur_high_f0,0.0012604594230651855,0,29,,1,1,1,,1,0,1
f1_closure_dur_high_f0,0.0008410811424255371,0,29,,1,0,0,,1,1,0
f1_closure_dur_high_f0,0.000842750072479248,0,29,,1,0,0,,1,0,1
f1_closure_dur_high_f0,0.0004240870475769043,0,29,,1,1,0,,1,0,1
f0_voicing_dur,6.413459777832031e-05,1,29,1,0,,,0,1,,
f0_voicing_dur,1.7881393432617188e-07,0,29,1,0,,,0,0,,
f0_voicing_dur,9.149312973022461e-05,0,29,1,0,,,1,1,,
f0_voicing_dur,6.23464584350586e-05,0,29,0,1,,,0,0,,
f0_voicing_dur,6.473064422607422e-05,0,29,0,1,,,1,1,,
f0_voicing_dur,8.994340896606445e-05,1,29,0,0,,,1,1,,
f0_closure_dur_low_f1,0.00026530027389526367,0,29,,0,0,0,,1,1,0
f0_closure_dur_low_f1,0.0005545616149902344,0,29,,0,0,0,,0,1,0
f0_closure_dur_low_f1,0.0002835988998413086,0,29,,0,0,0,,1,0,0
f0_closure_dur_low_f1,0.00013709068298339844,0,29,,1,1,0,,0,1,0
f0_closure_dur_low_f1,0.0008410811424255371,0,29,,1,1,0,,1,0,0
f0_closure_dur_low_f1,0.0014455318450927734,0,29,,0,1,0,,1,0,0
f0_closure_dur_high_f1,0.0006412863731384277,0,29,,0,0,1,,1,1,1
f0_closure_dur_high_f1,0.0006464719772338867,0,29,,0,0,1,,1,0,1
f0_closure_dur_high_f1,0.002611517906188965,0,29,,0,0,1,,0,1,1
f0_closure_dur_high_f1,0.0012604594230651855,0,29,,1,1,1,,1,0,1
f0_closure_dur_high_f1,0.0012303590774536133,0,29,,1,1,1,,0,1,1
f0_closure_dur_high_f1,0.004699647426605225,0,29,,1,0,1,,0,1,1
