Experiment,Distance,Diagonal?,Trial,stim1_Closure,stim1_F1,stim1_f0,stim1_voicing,stim2_Closure,stim2_F1,stim2_f0,stim2_voicing
f1_voicing_dur,0.004196763038635254,0,60,,0,,0,,1,,0
f1_voicing_dur,0.0045858025550842285,1,60,,0,,0,,1,,1
f1_voicing_dur,0.00010460615158081055,0,60,,0,,0,,0,,1
f1_voicing_dur,0.00031816959381103516,0,60,,1,,0,,1,,1
f1_voicing_dur,0.004388034343719482,1,60,,1,,0,,0,,1
f1_voicing_dur,0.004577279090881348,0,60,,1,,1,,0,,1
f1_closure_dur_low_f0,0.0015331506729125977,0,60,0,0,0,,1,0,0,
f1_closure_dur_low_f0,0.0016009211540222168,0,60,0,0,0,,0,1,0,
f1_closure_dur_low_f0,0.004723787307739258,0,60,0,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0012341141700744629,0,60,1,0,0,,0,1,0,
f1_closure_dur_low_f0,0.0011486411094665527,0,60,1,0,0,,1,1,0,
f1_closure_dur_low_f0,0.0024570822715759277,0,60,0,1,0,,1,1,0,
f1_closure_dur_high_f0,0.005624532699584961,0,60,1,1,1,,0,0,1,
f1_closure_dur_high_f0,0.002467334270477295,0,60,1,1,1,,1,0,1,
f1_closure_dur_high_f0,0.002142786979675293,0,60,1,1,1,,0,1,1,
f1_closure_dur_high_f0,0.0013005733489990234,0,60,0,0,1,,1,0,1,
f1_closure_dur_high_f0,0.0020824670791625977,0,60,0,0,1,,0,1,1,
f1_closure_dur_high_f0,0.0020864009857177734,0,60,1,0,1,,0,1,1,
f0_voicing_dur,0.0004038214683532715,1,60,,,0,1,,,1,0
f0_voicing_dur,8.940696716308594e-07,0,60,,,0,1,,,0,0
f0_voicing_dur,0.0010213255882263184,0,60,,,0,1,,,1,1
f0_voicing_dur,0.0004068613052368164,0,60,,,1,0,,,0,0
f0_voicing_dur,0.0005696415901184082,0,60,,,1,0,,,1,1
f0_voicing_dur,0.0010408759117126465,1,60,,,0,0,,,1,1
f0_closure_dur_low_f1,0.0007905960083007812,0,60,0,0,0,,1,0,1,
f0_closure_dur_low_f1,0.0011601448059082031,0,60,0,0,0,,1,0,0,
f0_closure_dur_low_f1,0.0004885196685791016,0,60,0,0,0,,0,0,1,
f0_closure_dur_low_f1,0.0003695487976074219,0,60,1,0,1,,1,0,0,
f0_closure_dur_low_f1,0.0013005733489990234,0,60,1,0,1,,0,0,1,
f0_closure_dur_low_f1,0.0023193359375,0,60,1,0,0,,0,0,1,
f0_closure_dur_high_f1,0.0029578804969787598,0,60,0,1,0,,1,1,1,
f0_closure_dur_high_f1,0.0016996264457702637,0,60,0,1,0,,0,1,1,
f0_closure_dur_high_f1,0.005358695983886719,0,60,0,1,0,,1,1,0,
f0_closure_dur_high_f1,0.002142786979675293,0,60,1,1,1,,0,1,1,
f0_closure_dur_high_f1,0.0020528435707092285,0,60,1,1,1,,1,1,0,
f0_closure_dur_high_f1,0.007035791873931885,0,60,0,1,1,,1,1,0,
