Experiment,Distance,Diagonal?,Trial,stim1_f0,stim1_voicing,stim1_F1,stim1_Closure,stim2_f0,stim2_voicing,stim2_F1,stim2_Closure
f1_voicing_dur,0.004366934299468994,0,28,,0,0,,,0,1,
f1_voicing_dur,0.0049405694007873535,1,28,,0,0,,,1,1,
f1_voicing_dur,9.924173355102539e-05,0,28,,0,0,,,1,0,
f1_voicing_dur,0.00028651952743530273,0,28,,0,1,,,1,1,
f1_voicing_dur,0.0041449666023254395,1,28,,0,1,,,1,0,
f1_voicing_dur,0.004524648189544678,0,28,,1,1,,,1,0,
f1_closure_dur_low_f0,0.0010873079299926758,0,28,0,,0,0,0,,0,1
f1_closure_dur_low_f0,0.0012469887733459473,0,28,0,,0,0,0,,1,0
f1_closure_dur_low_f0,0.003576993942260742,0,28,0,,0,0,0,,1,1
f1_closure_dur_low_f0,0.0010605454444885254,0,28,0,,0,1,0,,1,0
f1_closure_dur_low_f0,0.0009039640426635742,0,28,0,,0,1,0,,1,1
f1_closure_dur_low_f0,0.0020061135292053223,0,28,0,,1,0,0,,1,1
f1_closure_dur_high_f0,0.004810690879821777,0,28,1,,1,1,1,,0,0
f1_closure_dur_high_f0,0.0022254586219787598,0,28,1,,1,1,1,,0,1
f1_closure_dur_high_f0,0.0015465021133422852,0,28,1,,1,1,1,,1,0
f1_closure_dur_high_f0,0.0010532140731811523,0,28,1,,0,0,1,,0,1
f1_closure_dur_high_f0,0.001895606517791748,0,28,1,,0,0,1,,1,0
f1_closure_dur_high_f0,0.0017009377479553223,0,28,1,,0,1,1,,1,0
f0_voicing_dur,0.00038129091262817383,1,28,0,1,,,1,0,,
f0_voicing_dur,5.960464477539062e-07,0,28,0,1,,,0,0,,
f0_voicing_dur,0.0005359053611755371,0,28,0,1,,,1,1,,
f0_voicing_dur,0.00037974119186401367,0,28,1,0,,,0,0,,
f0_voicing_dur,0.0002930164337158203,0,28,1,0,,,1,1,,
f0_voicing_dur,0.0005406737327575684,1,28,0,0,,,1,1,,
f0_closure_dur_low_f1,0.0005944371223449707,0,28,0,,0,0,1,,0,1
f0_closure_dur_low_f1,0.0010164380073547363,0,28,0,,0,0,0,,0,1
f0_closure_dur_low_f1,0.00038373470306396484,0,28,0,,0,0,1,,0,0
f0_closure_dur_low_f1,0.00028139352798461914,0,28,1,,0,1,0,,0,1
f0_closure_dur_low_f1,0.0010532140731811523,0,28,1,,0,1,1,,0,0
f0_closure_dur_low_f1,0.0019673705101013184,0,28,0,,0,1,1,,0,0
f0_closure_dur_high_f1,0.002563178539276123,0,28,0,,1,0,1,,1,1
f0_closure_dur_high_f1,0.0018614530563354492,0,28,0,,1,0,1,,1,0
f0_closure_dur_high_f1,0.005286037921905518,0,28,0,,1,0,0,,1,1
f0_closure_dur_high_f1,0.0015465021133422852,0,28,1,,1,1,1,,1,0
f0_closure_dur_high_f1,0.002234041690826416,0,28,1,,1,1,0,,1,1
f0_closure_dur_high_f1,0.006446242332458496,0,28,1,,1,0,0,,1,1
